iShares MSCI ACWI ETF
Fund Holdings as of,"Jan 07, 2021"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"158,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","542,064,441.00","3.70","542,064,441.00","4,140,425.00","037833100","US0378331005","2046251","130.92","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","379,370,338.51","2.59","379,370,338.51","1,737,919.00","594918104","US5949181045","2588173","218.29","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","325,496,939.60","2.22","325,496,939.60","102,935.00","023135106","US0231351067","2000019","3,162.16","United States","NASDAQ","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","156,199,481.46","1.07","156,199,481.46","581,229.00","30303M102","US30303M1027","B7TL820","268.74","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","147,496,781.88","1.01","147,496,781.88","180,747.00","88160R101","US88160R1014","B616C79","816.04","United States","NASDAQ","USD","1.00","USD","-"
"INDA","ISHARES MSCI INDIA ETF","Financials","Equity","135,978,942.80","0.93","135,978,942.80","3,339,365.00","46429B598","US46429B5984","B6XGR72","40.72","United States","Cboe BZX formerly known as BATS","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","130,186,864.50","0.89","130,186,864.50","72,842.00","02079K107","US02079K1079","BYY88Y7","1,787.25","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","128,446,246.94","0.88","128,446,246.94","72,391.00","02079K305","US02079K3059","BYVY8G0","1,774.34","United States","NASDAQ","USD","1.00","USD","-"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","120,911,999.71","0.83","120,911,999.71","5,986,000.00","S68891068","TW0002330008","6889106","20.20","Taiwan","Taiwan Stock Exchange","USD","27.97","TWD","Nov 10, 1994"
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","104,040,910.80","0.71","104,040,910.80","458,532.00","01609W102","US01609W1027","BP41ZD1","226.90","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","102,478,194.07","0.70","102,478,194.07","639,011.00","478160104","US4781601046","2475833","160.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"700","TENCENT HOLDINGS LTD","Communication","Equity","102,401,122.07","0.70","102,401,122.07","1,396,600.00","-","KYG875721634","BMMV2K8","73.32","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","98,972,463.45","0.68","98,972,463.45","728,435.00","46625H100","US46625H1005","2190385","135.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
