iShares MSCI ACWI ETF
Fund Holdings as of,"Dec 30, 2020"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"156,800,000.00"
Stock,-
Bond,-
Cash,-
Other,-
 ,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
AAPL,APPLE INC,Information Technology,Equity,"548,726,572.28",3.8599999999999999,"548,726,572.28","4,103,549.00",37833100,US0378331005,2046251,133.72,United States,NASDAQ,USD,1,USD,-
MSFT,MICROSOFT CORP,Information Technology,Equity,"381,823,183.76",2.6800000000000002,"381,823,183.76","1,722,407.00",594918104,US5949181045,2588173,221.68000000000001,United States,NASDAQ,USD,1,USD,-
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"335,215,845.30",2.3599999999999999,"335,215,845.30","102,018.00",23135106,US0231351067,2000019,"3,285.85",United States,NASDAQ,USD,1,USD,-
FB,FACEBOOK CLASS A INC,Communication,Equity,"156,591,410.73",1.1000000000000001,"156,591,410.73","575,979.00",30303M102,US30303M1027,B7TL820,271.87,United States,NASDAQ,USD,1,USD,-
INDA,ISHARES MSCI INDIA ETF,Financials,Equity,"133,908,536.50",0.93999999999999995,"133,908,536.50","3,339,365.00",46429B598,US46429B5984,B6XGR72,40.100000000000001,United States,Cboe BZX formerly known as BATS,USD,1,USD,-
GOOG,ALPHABET INC CLASS C,Communication,Equity,"125,565,511.68",0.88,"125,565,511.68","72,184.00",02079K107,US02079K1079,BYY88Y7,"1,739.52",United States,NASDAQ,USD,1,USD,-
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"124,558,575.00",0.88,"124,558,575.00","71,740.00",02079K305,US02079K3059,BYVY8G0,"1,736.25",United States,NASDAQ,USD,1,USD,-
TSLA,TESLA INC,Consumer Discretionary,Equity,"124,441,351.02",0.87,"124,441,351.02","179,109.00",88160R101,US88160R1014,B616C79,694.77999999999997,United States,NASDAQ,USD,1,USD,-
2330,TAIWAN SEMICONDUCTOR MANUFACTURING,Information Technology,Equity,"110,932,467.30",0.78000000000000003,"110,932,467.30","5,937,000.00",S68891068,TW0002330008,6889106,18.68,Taiwan,Taiwan Stock Exchange,USD,28.100000000000001,TWD,"Nov 10, 1994"
BABA,ALIBABA GROUP HOLDING ADR REPRESEN,Consumer Discretionary,Equity,"108,313,211.67",0.76000000000000001,"108,313,211.67","454,353.00",01609W102,US01609W1027,BP41ZD1,238.38999999999999,China,New York Stock Exchange Inc.,USD,1,USD,-
700,TENCENT HOLDINGS LTD,Communication,Equity,"99,936,103.25",0.69999999999999996,"99,936,103.25","1,384,700.00",-,KYG875721634,BMMV2K8,72.170000000000002,China,Hong Kong Exchanges And Clearing Ltd,USD,7.75,HKD,-
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"98,805,554.30",0.68999999999999995,"98,805,554.30","633,166.00",478160104,US4781601046,2475833,156.05000000000001,United States,New York Stock Exchange Inc.,USD,1,USD,-
JPM,JPMORGAN CHASE & CO,Financials,Equity,"90,477,702.48",0.64000000000000001,"90,477,702.48","721,743.00",46625H100,US46625H1005,2190385,125.36,United States,New York Stock Exchange Inc.,USD,1,USD,-
V,VISA INC CLASS A,Information Technology,Equity,"86,804,869.16",0.60999999999999999,"86,804,869.16","397,531.00",92826C839,US92826C8394,B2PZN04,218.36000000000001,United States,New York Stock Exchange Inc.,USD,1,USD,-
5930,SAMSUNG ELECTRONICS LTD,Information Technology,Equity,"84,707,373.65",0.59999999999999998,"84,707,373.65","1,136,020.00",S67717207,KR7005930003,6771720,74.569999999999993,Korea (South),Korea Exchange (Stock Market),USD,"1,086.30",KRW,-
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"81,855,494.42",0.57999999999999996,"81,855,494.42","594,146.00",742718109,US7427181091,2704407,137.77000000000001,United States,New York Stock Exchange Inc.,USD,1,USD,-
NESN,NESTLE SA,Consumer Staples,Equity,"79,779,152.11",0.56000000000000005,"79,779,152.11","675,590.00",S71238703,CH0038863350,7123870,118.09,Switzerland,SIX Swiss Exchange,USD,0.88,CHF,-
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"78,600,451.66",0.55000000000000004,"78,600,451.66","227,834.00",91324P102,US91324P1021,2917766,344.99000000000001,United States,New York Stock Exchange Inc.,USD,1,USD,-
DIS,WALT DISNEY,Communication,Equity,"78,575,059.53",0.55000000000000004,"78,575,059.53","433,709.00",254687106,US2546871060,2270726,181.16999999999999,United States,New York Stock Exchange Inc.,USD,1,USD,-
NVDA,NVIDIA CORP,Information Technology,Equity,"77,890,672.07",0.55000000000000004,"77,890,672.07","148,129.00",67066G104,US67066G1040,2379504,525.83000000000004,United States,NASDAQ,USD,1,USD,-
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"76,959,848.70",0.54000000000000004,"76,959,848.70","335,118.00",84670702,US0846707026,2073390,229.65000000000001,United States,New York Stock Exchange Inc.,USD,1,USD,-
MA,MASTERCARD INC CLASS A,Information Technology,Equity,"75,632,951.55",0.53000000000000003,"75,632,951.55","212,721.00",57636Q104,US57636Q1040,B121557,355.55000000000001,United States,New York Stock Exchange Inc.,USD,1,USD,-
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"67,923,006.12",0.47999999999999998,"67,923,006.12","256,062.00",437076102,US4370761029,2434209,265.25999999999999,United States,New York Stock Exchange Inc.,USD,1,USD,-
PYPL,PAYPAL HOLDINGS INC,Information Technology,Equity,"61,831,922.31",0.42999999999999999,"61,831,922.31","267,081.00",70450Y103,US70450Y1038,BYW36M8,231.50999999999999,United States,NASDAQ,USD,1,USD,-
ROG,ROCHE HOLDING PAR AG,Health Care,Equity,"58,273,221.20",0.40999999999999998,"58,273,221.20","166,503.00",S71103881,CH0012032048,7110388,349.98000000000002,Switzerland,SIX Swiss Exchange,USD,0.88,CHF,-
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,"57,460,227.12",0.40000000000000002,"57,460,227.12","988,308.00",92343V104,US92343V1044,2090571,58.140000000000001,United States,New York Stock Exchange Inc.,USD,1,USD,-
ADBE,ADOBE INC,Information Technology,Equity,"57,134,122.30",0.40000000000000002,"57,134,122.30","114,854.00",00724F101,US00724F1012,2008154,497.44999999999999,United States,NASDAQ,USD,1,USD,-
CMCSA,COMCAST CORP CLASS A,Communication,Equity,"55,838,359.80",0.39000000000000001,"55,838,359.80","1,090,380.00",20030N101,US20030N1019,2044545,51.210000000000001,United States,NASDAQ,USD,1,USD,-
BAC,BANK OF AMERICA CORP,Financials,Equity,"55,587,417.00",0.39000000000000001,"55,587,417.00","1,854,150.00",60505104,US0605051046,2295677,29.98,United States,New York Stock Exchange Inc.,USD,1,USD,-
NFLX,NETFLIX INC,Communication,Equity,"55,532,048.22",0.39000000000000001,"55,532,048.22","105,858.00",64110L106,US64110L1061,2857817,524.59000000000003,United States,NASDAQ,USD,1,USD,-
KO,COCA-COLA,Consumer Staples,Equity,"53,148,519.88",0.37,"53,148,519.88","976,277.00",191216100,US1912161007,2206657,54.439999999999998,United States,New York Stock Exchange Inc.,USD,1,USD,-
ASML,ASML HOLDING NV,Information Technology,Equity,"50,356,650.40",0.34999999999999998,"50,356,650.40","102,732.00",-,NL0010273215,B929F46,490.17000000000002,Netherlands,Euronext Amsterdam,USD,0.81000000000000005,EUR,-
INTC,INTEL CORPORATION CORP,Information Technology,Equity,"49,576,410.00",0.34999999999999998,"49,576,410.00","1,016,952.00",458140100,US4581401001,2463247,48.75,United States,NASDAQ,USD,1,USD,-
NOVN,NOVARTIS AG,Health Care,Equity,"49,386,092.14",0.34999999999999998,"49,386,092.14","521,255.00",S71030654,CH0012005267,7103065,94.739999999999995,Switzerland,SIX Swiss Exchange,USD,0.88,CHF,-
PFE,PFIZER INC,Health Care,Equity,"49,188,173.32",0.34999999999999998,"49,188,173.32","1,338,818.00",717081103,US7170811035,2684703,36.740000000000002,United States,New York Stock Exchange Inc.,USD,1,USD,-
PEP,PEPSICO INC,Consumer Staples,Equity,"49,154,990.04",0.34999999999999998,"49,154,990.04","333,684.00",713448108,US7134481081,2681511,147.31,United States,NASDAQ,USD,1,USD,-
WMT,WALMART INC,Consumer Staples,Equity,"48,954,444.66",0.34000000000000002,"48,954,444.66","339,537.00",931142103,US9311421039,2936921,144.18000000000001,United States,New York Stock Exchange Inc.,USD,1,USD,-
MRK,MERCK & CO INC,Health Care,Equity,"48,858,009.86",0.34000000000000002,"48,858,009.86","606,254.00",58933Y105,US58933Y1055,2778844,80.590000000000003,United States,New York Stock Exchange Inc.,USD,1,USD,-
CRM,SALESFORCE.COM INC,Information Technology,Equity,"48,395,796.80",0.34000000000000002,"48,395,796.80","217,607.00",79466L302,US79466L3024,2310525,222.40000000000001,United States,New York Stock Exchange Inc.,USD,1,USD,-
T,AT&T INC,Communication,Equity,"48,201,604.22",0.34000000000000002,"48,201,604.22","1,691,878.00",00206R102,US00206R1023,2831811,28.489999999999998,United States,New York Stock Exchange Inc.,USD,1,USD,-
