iShares MSCI ACWI ETF
Fund Holdings as of,"Nov 12, 2020"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"164,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"AAPL","APPLE INC","Information Technology","Equity","525,142,342.27","3.76","525,142,342.27","4,405,187.00","037833100","US0378331005","2046251","119.21","United States","NASDAQ","USD","1.00","-","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","394,207,587.76","2.83","394,207,587.76","1,829,779.00","594918104","US5949181045","2588173","215.44","United States","NASDAQ","USD","1.00","-","USD"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","333,652,176.72","2.39","333,652,176.72","107,274.00","023135106","US0231351067","2000019","3,110.28","United States","NASDAQ","USD","1.00","-","USD"
"FB","FACEBOOK CLASS A INC","Communication","Equity","167,699,771.20","1.20","167,699,771.20","609,640.00","30303M102","US30303M1027","B7TL820","275.08","United States","NASDAQ","USD","1.00","-","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","134,508,450.96","0.96","134,508,450.96","76,869.00","02079K107","US02079K1079","BYY88Y7","1,749.84","United States","NASDAQ","USD","1.00","-","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","132,065,671.14","0.95","132,065,671.14","75,777.00","02079K305","US02079K3059","BYVY8G0","1,742.82","United States","NASDAQ","USD","1.00","-","USD"
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","126,130,582.17","0.90","126,130,582.17","477,207.00","01609W102","US01609W1027","BP41ZD1","264.31","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"INDA","ISHARES MSCI INDIA ETF","Financials","Equity","119,382,298.75","0.86","119,382,298.75","3,339,365.00","46429B598","US46429B5984","B6XGR72","35.75","United States","Cboe BZX formerly known as BATS","USD","1.00","-","USD"
"700","TENCENT HOLDINGS LTD","Communication","Equity","108,717,423.96","0.78","108,717,423.96","1,461,100.00","-","KYG875721634","BMMV2K8","74.41","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","99,625,620.25","0.71","99,625,620.25","6,203,000.00","S68891068","TW0002330008","6889106","16.06","Taiwan","Taiwan Stock Exchange","USD","28.52","-","TWD"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","99,378,054.50","0.71","99,378,054.50","670,115.00","478160104","US4781601046","2475833","148.30","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","88,791,012.35","0.64","88,791,012.35","624,629.00","742718109","US7427181091","2704407","142.15","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"V","VISA INC CLASS A","Information Technology","Equity","88,208,106.48","0.63","88,208,106.48","423,548.00","92826C839","US92826C8394","B2PZN04","208.26","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","87,325,850.01","0.63","87,325,850.01","770,273.00","46625H100","US46625H1005","2190385","113.37","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"NESN","NESTLE SA","Consumer Staples","Equity","87,294,708.29","0.63","87,294,708.29","752,244.00","S71238703","CH0038863350","7123870","116.05","Switzerland","Six Swiss Exchange Ag","USD","0.91","-","CHF"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","85,316,410.48","0.61","85,316,410.48","240,728.00","91324P102","US91324P1021","2917766","354.41","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"NVDA","NVIDIA CORP","Information Technology","Equity","84,060,011.09","0.60","84,060,011.09","156,167.00","67066G104","US67066G1040","2379504","538.27","United States","NASDAQ","USD","1.00","-","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","79,139,642.40","0.57","79,139,642.40","352,170.00","084670702","US0846707026","2073390","224.72","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","77,897,168.56","0.56","77,897,168.56","189,181.00","88160R101","US88160R1014","B616C79","411.76","United States","NASDAQ","USD","1.00","-","USD"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","75,830,918.64","0.54","75,830,918.64","274,511.00","437076102","US4370761029","2434209","276.24","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","74,471,273.34","0.53","74,471,273.34","226,846.00","57636Q104","US57636Q1040","B121557","328.29","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","66,085,248.48","0.47","66,085,248.48","1,207,735.00","S67717207","KR7005930003","6771720","54.72","Korea (South)","Korea Exchange (Stock Market)","USD","1,114.80","-","KRW"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","63,336,675.47","0.45","63,336,675.47","1,041,893.00","92343V104","US92343V1044","2090571","60.79","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"DIS","WALT DISNEY","Communication","Equity","62,143,780.16","0.45","62,143,780.16","458,558.00","254687106","US2546871060","2270726","135.52","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","61,438,010.83","0.44","61,438,010.83","178,258.00","S71103881","CH0012032048","7110388","344.66","Switzerland","Six Swiss Exchange Ag","USD","0.91","-","CHF"
"ADBE","ADOBE INC","Information Technology","Equity","57,115,677.76","0.41","57,115,677.76","123,472.00","00724F101","US00724F1012","2008154","462.58","United States","NASDAQ","USD","1.00","-","USD"
"CRM","SALESFORCE.COM INC","Information Technology","Equity","56,893,949.10","0.41","56,893,949.10","228,105.00","79466L302","US79466L3024","2310525","249.42","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","54,871,031.54","0.39","54,871,031.54","1,143,623.00","20030N101","US20030N1019","2044545","47.98","United States","NASDAQ","USD","1.00","-","USD"
"KO","COCA-COLA","Consumer Staples","Equity","54,686,547.27","0.39","54,686,547.27","1,031,627.00","191216100","US1912161007","2206657","53.01","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"NFLX","NETFLIX INC","Communication","Equity","54,283,616.86","0.39","54,283,616.86","111,518.00","64110L106","US64110L1061","2857817","486.77","United States","NASDAQ","USD","1.00","-","USD"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","53,706,669.20","0.38","53,706,669.20","284,012.00","70450Y103","US70450Y1038","BYW36M8","189.10","United States","NASDAQ","USD","1.00","-","USD"
"BAC","BANK OF AMERICA CORP","Financials","Equity","53,097,940.08","0.38","53,097,940.08","1,989,432.00","060505104","US0605051046","2295677","26.69","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"WMT","WALMART INC","Consumer Staples","Equity","53,050,331.16","0.38","53,050,331.16","357,892.00","931142103","US9311421039","2936921","148.23","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"PFE","PFIZER INC","Health Care","Equity","53,026,157.40","0.38","53,026,157.40","1,412,148.00","717081103","US7170811035","2684703","37.55","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"MRK","MERCK & CO INC","Health Care","Equity","51,601,219.56","0.37","51,601,219.56","646,146.00","58933Y105","US58933Y1055","2778844","79.86","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"T","AT&T INC","Communication","Equity","51,209,348.40","0.37","51,209,348.40","1,800,610.00","00206R102","US00206R1023","2831811","28.44","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"PEP","PEPSICO INC","Consumer Staples","Equity","50,488,271.52","0.36","50,488,271.52","351,003.00","713448108","US7134481081","2681511","143.84","United States","NASDAQ","USD","1.00","-","USD"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","50,257,713.50","0.36","50,257,713.50","448,930.00","002824100","US0028241000","2002305","111.95","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","49,354,213.60","0.35","49,354,213.60","101,435.00","883556102","US8835561023","2886907","486.56","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","48,349,658.40","0.35","48,349,658.40","1,075,632.00","458140100","US4581401001","2463247","44.95","United States","NASDAQ","USD","1.00","-","USD"
"NOVN","NOVARTIS AG","Health Care","Equity","47,124,935.85","0.34","47,124,935.85","546,988.00","S71030654","CH0012005267","7103065","86.15","Switzerland","Six Swiss Exchange Ag","USD","0.91","-","CHF"
"ASML","ASML HOLDING NV","Information Technology","Equity","45,660,873.68","0.33","45,660,873.68","109,553.00","-","NL0010273215","B929F46","416.79","Netherlands","Euronext Amsterdam","USD","0.85","-","EUR"
"ABBV","ABBVIE INC","Health Care","Equity","44,002,081.60","0.32","44,002,081.60","450,841.00","00287Y109","US00287Y1091","B92SR70","97.60","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","42,605,889.71","0.31","42,605,889.71","113,401.00","22160K105","US22160K1051","2701271","375.71","United States","NASDAQ","USD","1.00","-","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","41,619,786.27","0.30","41,619,786.27","1,076,281.00","17275R102","US17275R1023","2198163","38.67","United States","NASDAQ","USD","1.00","-","USD"
"QCOM","QUALCOMM INC","Information Technology","Equity","41,460,614.91","0.30","41,460,614.91","288,101.00","747525103","US7475251036","2714923","143.91","United States","NASDAQ","USD","1.00","-","USD"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","40,527,831.63","0.29","40,527,831.63","190,209.00","580135101","US5801351017","2550707","213.07","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","39,996,078.00","0.29","39,996,078.00","315,825.00","654106103","US6541061031","2640147","126.64","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"MC","LVMH","Consumer Discretionary","Equity","39,386,472.63","0.28","39,386,472.63","70,527.00","S40614125","FR0000121014","4061412","558.46","France","Nyse Euronext - Euronext Paris","USD","0.85","-","EUR"
"CVX","CHEVRON CORP","Energy","Equity","38,855,512.20","0.28","38,855,512.20","481,660.00","166764100","US1667641005","2838555","80.67","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","38,522,429.55","0.28","38,522,429.55","161,757.00","G1151C101","IE00B4BNMY34","B4BNMY3","238.15","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","38,200,060.80","0.27","38,200,060.80","498,240.00","65339F101","US65339F1012","2328915","76.67","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","37,921,116.71","0.27","37,921,116.71","536,200.00","S69006435","JP3633400001","6900643","70.72","Japan","Tokyo Stock Exchange","USD","105.13","-","JPY"
"AZN","ASTRAZENECA PLC","Health Care","Equity","37,827,115.12","0.27","37,827,115.12","332,650.00","S09895293","GB0009895292","0989529","113.71","United Kingdom","London Stock Exchange","USD","0.76","-","GBP"
