iShares MSCI ACWI ETF
Fund Holdings as of,"Dec 16, 2020"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"160,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","535,246,807.92","3.74","535,246,807.92","4,187,832.00","037833100","US0378331005","2046251","127.81","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","385,466,610.72","2.69","385,466,610.72","1,757,874.00","594918104","US5949181045","2588173","219.28","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","337,429,309.44","2.36","337,429,309.44","104,114.00","023135106","US0231351067","2000019","3,240.96","United States","NASDAQ","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","162,088,170.93","1.13","162,088,170.93","587,979.00","30303M102","US30303M1027","B7TL820","275.67","United States","NASDAQ","USD","1.00","USD","-"
"INDA","ISHARES MSCI INDIA ETF","Financials","Equity","130,235,235.00","0.91","130,235,235.00","3,339,365.00","46429B598","US46429B5984","B6XGR72","39.00","United States","Cboe BZX formerly known as BATS","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","129,911,944.00","0.91","129,911,944.00","73,688.00","02079K107","US02079K1079","BYY88Y7","1,763.00","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","128,675,509.32","0.90","128,675,509.32","73,228.00","02079K305","US02079K3059","BYVY8G0","1,757.19","United States","NASDAQ","USD","1.00","USD","-"
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","121,487,890.21","0.85","121,487,890.21","463,889.00","01609W102","US01609W1027","BP41ZD1","261.89","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","118,820,000.00","0.83","118,820,000.00","118,820,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","113,875,362.81","0.79","113,875,362.81","182,853.00","88160R101","US88160R1014","B616C79","622.77","United States","NASDAQ","USD","1.00","USD","-"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","110,093,240.67","0.77","110,093,240.67","6,049,000.00","S68891068","TW0002330008","6889106","18.20","Taiwan","Taiwan Stock Exchange","USD","28.13","TWD","Nov 10, 1994"
"700","TENCENT HOLDINGS LTD","Communication","Equity","104,092,062.49","0.73","104,092,062.49","1,411,900.00","-","KYG875721634","BMMV2K8","73.72","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","96,769,587.51","0.68","96,769,587.51","646,553.00","478160104","US4781601046","2475833","149.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
