iShares MSCI Emerging Markets ETF
Fund Holdings as of,"Nov 19, 2020"
Inception Date,"Apr 07, 2003"
Shares Outstanding,"540,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","1,793,765,717.91","6.83","1,793,765,717.91","6,902,019.00","01609W102","US01609W1027","BP41ZD1","259.89","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"700","TENCENT HOLDINGS LTD","Communication","Equity","1,557,152,689.92","5.93","1,557,152,689.92","21,071,700.00","-","KYG875721634","BMMV2K8","73.90","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","1,555,613,127.29","5.92","1,555,613,127.29","90,497,000.00","S68891068","TW0002330008","6889106","17.19","Taiwan","Taiwan Stock Exchange","USD","28.51","-","TWD"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","1,015,864,516.29","3.87","1,015,864,516.29","17,544,106.00","S67717207","KR7005930003","6771720","57.90","Korea (South)","Korea Exchange (Stock Market)","USD","1,115.65","-","KRW"
"3690","MEITUAN","Consumer Discretionary","Equity","497,247,673.77","1.89","497,247,673.77","13,114,400.00","-","KYG596691041","BGJW376","37.92","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"NPN","NASPERS LIMITED N LTD","Consumer Discretionary","Equity","314,357,650.03","1.20","314,357,650.03","1,602,348.00","S66226911","ZAE000015889","6622691","196.19","South Africa","Johannesburg Stock Exchange","USD","15.50","-","ZAR"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","278,667,413.93","1.06","278,667,413.93","10,489,131.00","S60996261","INE002A01018","6099626","26.57","India","National Stock Exchange Of India","USD","74.27","-","INR"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","270,186,346.57","1.03","270,186,346.57","352,102,760.00","-","CNE1000002H1","B0LMTQ3","0.77","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"JD","JD.COM ADR REPRESENTING INC","Consumer Discretionary","Equity","269,088,207.12","1.02","269,088,207.12","3,127,478.00","47215P106","US47215P1066","BMM27D9","86.04","China","NASDAQ","USD","1.00","-","USD"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","251,378,581.24","0.96","251,378,581.24","21,925,500.00","-","CNE1000003X6","B01FLR7","11.47","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","193,079,999.99","0.73","193,079,999.99","193,080,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","-","USD"
"NIO","NIO AMERICAN DEPOSITARY SHARES REP","Consumer Discretionary","Equity","190,235,339.70","0.72","190,235,339.70","3,926,426.00","62914V106","US62914V1061","BFZX9H8","48.45","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","189,150,983.67","0.72","189,150,983.67","6,043,295.00","S61719001","INE001A01036","6171900","31.30","India","National Stock Exchange Of India","USD","74.27","-","INR"
"INFY","INFOSYS LTD","Information Technology","Equity","184,930,966.61","0.70","184,930,966.61","12,523,203.00","S62051222","INE009A01021","6205122","14.77","India","National Stock Exchange Of India","USD","74.27","-","INR"
"000660","SK HYNIX INC","Information Technology","Equity","177,118,419.22","0.67","177,118,419.22","2,012,242.00","S64502677","KR7000660001","6450267","88.02","Korea (South)","Korea Exchange (Stock Market)","USD","1,115.65","-","KRW"
"VALE3","CIA VALE DO RIO DOCE SH","Materials","Equity","173,203,912.07","0.66","173,203,912.07","13,586,609.00","S21962865","BRVALEACNOR0","2196286","12.75","Brazil","XBSP","USD","5.31","-","BRL"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Information Technology","Equity","157,833,926.41","0.60","157,833,926.41","3,035,990.00","S67738120","KR7005931001","6773812","51.99","Korea (South)","Korea Exchange (Stock Market)","USD","1,115.65","-","KRW"
"2454","MEDIATEK INC","Information Technology","Equity","143,031,827.33","0.54","143,031,827.33","5,562,338.00","S63724801","TW0002454006","6372480","25.71","Taiwan","Taiwan Stock Exchange","USD","28.51","-","TWD"
"BIDU","BAIDU ADR REPTG INC CLASS A","Communication","Equity","137,045,163.68","0.52","137,045,163.68","1,004,141.00","056752108","US0567521085","B0FXT17","136.48","China","NASDAQ","USD","1.00","-","USD"
"941","CHINA MOBILE LTD","Communication","Equity","136,723,908.46","0.52","136,723,908.46","22,508,500.00","S60735560","HK0941009539","6073556","6.07","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"PDD","PINDUODUO ADR REPRESENTING INC","Consumer Discretionary","Equity","136,682,063.36","0.52","136,682,063.36","992,896.00","722304102","US7223041028","BYVW0F7","137.66","China","NASDAQ","USD","1.00","-","USD"
"NTES","NETEASE ADR INC","Communication","Equity","134,848,357.08","0.51","134,848,357.08","1,511,414.00","64110W102","US64110W1027","2606440","89.22","China","NASDAQ","USD","1.00","-","USD"
"2317","HON HAI PRECISION INDUSTRY LTD","Information Technology","Equity","132,840,878.84","0.51","132,840,878.84","45,677,873.00","S64385644","TW0002317005","6438564","2.91","Taiwan","Taiwan Stock Exchange","USD","28.51","-","TWD"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","132,498,583.43","0.50","132,498,583.43","223,345,085.00","-","CNE1000003G1","B1G1QD8","0.59","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"1810","XIAOMI CORP","Information Technology","Equity","125,969,612.91","0.48","125,969,612.91","38,760,400.00","-","KYG9830T1067","BG0ZMJ9","3.25","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"SBER","SBERBANK ROSSII","Financials","Equity","123,073,274.17","0.47","123,073,274.17","39,342,681.00","-","RU0009029540","4767981","3.13","Russian Federation","Standard-Classica-Forts","USD","76.34","-","RUB"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","121,293,397.81","0.46","121,293,397.81","18,816,628.00","-","INE090A01021","BSZ2BY7","6.45","India","National Stock Exchange Of India","USD","74.27","-","INR"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","117,119,970.97","0.45","117,119,970.97","3,298,760.00","-","INE467B01029","B01NPJ1","35.50","India","National Stock Exchange Of India","USD","74.27","-","INR"
"035420","NAVER CORP","Communication","Equity","113,871,962.53","0.43","113,871,962.53","452,910.00","S65603938","KR7035420009","6560393","251.42","Korea (South)","Korea Exchange (Stock Market)","USD","1,115.65","-","KRW"
"2963","WUXI BIOLOGICS (CAYMAN) INC (TEMP)","Health Care","Equity","112,240,254.97","0.43","112,240,254.97","11,023,500.00","-","KYG970081256","BN92PQ8","10.18","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"051910","LG CHEM LTD","Materials","Equity","109,095,801.55","0.42","109,095,801.55","168,811.00","S63469134","KR7051910008","6346913","646.26","Korea (South)","Korea Exchange (Stock Market)","USD","1,115.65","-","KRW"
"TAL","TAL EDUCATION GROUP ADR REPTG","Consumer Discretionary","Equity","104,749,417.50","0.40","104,749,417.50","1,401,330.00","874080104","US8740801043","B4MGD82","74.75","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"EDU","NEW ORIENTAL EDUCATION & TECHNOLOG","Consumer Discretionary","Equity","100,929,308.13","0.38","100,929,308.13","558,639.00","647581107","US6475811070","B1CN1G6","180.67","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"3988","BANK OF CHINA LTD H","Financials","Equity","99,962,038.70","0.38","99,962,038.70","286,015,000.00","-","CNE1000001Z5","B154564","0.35","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
