iShares MSCI Emerging Markets ETF
Fund Holdings as of,"Dec 18, 2020"
Inception Date,"Apr 07, 2003"
Shares Outstanding,"546,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","1,765,280,660.00","6.36","1,765,280,660.00","6,789,541.00","01609W102","US01609W1027","BP41ZD1","260.00","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","1,600,885,965.69","5.77","1,600,885,965.69","88,292,000.00","S68891068","TW0002330008","6889106","18.13","Taiwan","Taiwan Stock Exchange","USD","28.13","TWD","Nov 10, 1994"
"700","TENCENT HOLDINGS LTD","Communication","Equity","1,542,127,681.53","5.55","1,542,127,681.53","20,611,600.00","-","KYG875721634","BMMV2K8","74.82","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","1,133,951,567.84","4.08","1,133,951,567.84","17,080,728.00","S67717207","KR7005930003","6771720","66.39","Korea (South)","Korea Exchange (Stock Market)","USD","1,099.60","KRW","-"
"3690","MEITUAN","Consumer Discretionary","Equity","463,986,831.96","1.67","463,986,831.96","12,919,800.00","-","KYG596691041","BGJW376","35.91","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"NPN","NASPERS LIMITED N LTD","Consumer Discretionary","Equity","321,687,797.78","1.16","321,687,797.78","1,555,633.00","S66226911","ZAE000015889","6622691","206.79","South Africa","Johannesburg Stock Exchange","USD","14.55","ZAR","-"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","277,609,352.72","1.00","277,609,352.72","10,254,317.00","S60996261","INE002A01018","6099626","27.07","India","National Stock Exchange Of India","USD","73.56","INR","-"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","255,059,722.53","0.92","255,059,722.53","21,226,500.00","-","CNE1000003X6","B01FLR7","12.02","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","254,707,739.84","0.92","254,707,739.84","343,394,760.00","-","CNE1000002H1","B0LMTQ3","0.74","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"JD","JD.COM ADR REPRESENTING INC","Consumer Discretionary","Equity","252,650,137.33","0.91","252,650,137.33","3,098,861.00","47215P106","US47215P1066","BMM27D9","81.53","China","NASDAQ","USD","1.00","USD","-"
