iShares MSCI Mexico ETF
Fund Holdings as of,"Nov 17, 2020"
Inception Date,"Mar 12, 1996"
Shares Outstanding,"25,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"AMXL","AMERICA MOVIL L","Communication","Equity","180,496,911.71","16.57","180,496,911.71","248,592,918.00","S26674705","MXP001691213","2667470","0.73","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"WALMEX*","WALMART DE MEXICO V","Consumer Staples","Equity","107,191,285.27","9.84","107,191,285.27","38,195,233.00","-","MX01WA000038","BW1YVH8","2.81","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Consumer Staples","Equity","102,863,073.37","9.44","102,863,073.37","14,080,210.00","S22420590","MXP320321310","2242059","7.31","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"GFNORTEO","GPO FINANCE BANORTE","Financials","Equity","88,637,812.92","8.14","88,637,812.92","17,014,861.00","S24210411","MXP370711014","2421041","5.21","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"CEMEXCPO","CEMEX CPO","Materials","Equity","54,347,003.97","4.99","54,347,003.97","118,540,029.00","S24064578","MXP225611567","2406457","0.46","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"GMEXICOB","GRUPO MEXICO B","Materials","Equity","50,167,585.78","4.61","50,167,585.78","15,180,586.00","S26436741","MXP370841019","2643674","3.30","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"TLEVISACPO","GRUPO TELEVISA","Communication","Equity","31,417,335.00","2.88","31,417,335.00","18,873,147.00","S23801087","MXP4987V1378","2380108","1.66","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"GAPB","GRUPO AEROPORTUARIO DEL PACIFICO","Industrials","Equity","30,720,616.59","2.82","30,720,616.59","2,963,949.00","-","MX01GA000004","B0ZV104","10.36","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"BIMBOA","GRUPO BIMBO A","Consumer Staples","Equity","29,062,469.65","2.67","29,062,469.65","13,102,604.00","S23924715","MXP495211262","2392471","2.22","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"ASURB","GRUPO AEROPORTUARIO DEL SURESTE B","Industrials","Equity","25,533,507.19","2.34","25,533,507.19","1,648,745.00","S26393496","MXP001661018","2639349","15.49","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"FUNO11","FIBRA UNO ADMINISTRACION REIT SA","Real Estate","Equity","22,935,178.94","2.11","22,935,178.94","24,734,100.00","-","MXCFFU000001","B671GT8","0.93","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"KIMBERA","KIMBERLY-CLARK DE MEXICO CLASS A","Consumer Staples","Equity","19,938,999.42","1.83","19,938,999.42","12,353,854.00","S24919144","MXP606941179","2491914","1.61","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"GRUMAB","GRUMA","Consumer Staples","Equity","18,844,824.44","1.73","18,844,824.44","1,746,385.00","S23925456","MXP4948K1056","2392545","10.79","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"PE&OLES*","INDUST PENOLES","Materials","Equity","18,685,637.60","1.72","18,685,637.60","1,192,213.00","S24482002","MXP554091415","2448200","15.67","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"AC*","ARCA CONTINENTAL","Consumer Staples","Equity","17,390,458.08","1.60","17,390,458.08","3,594,529.00","S28238855","MX01AC100006","2823885","4.84","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"GFINBURO","GRUPO FINANCIERO INBURSA SRIES O","Financials","Equity","17,306,054.55","1.59","17,306,054.55","18,752,992.00","S28223980","MXP370641013","2822398","0.92","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"ORBIA*","ORBIA ADVANCE CORP SA DE CV","Materials","Equity","16,575,577.11","1.52","16,575,577.11","8,576,142.00","-","MX01OR010004","BH3T8K8","1.93","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"IENOVA*","INFRAESTRUCTURA ENERGETICA NOVA","Utilities","Equity","16,218,678.70","1.49","16,218,678.70","4,369,800.00","-","MX01IE060002","B84XBP2","3.71","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"OMAB","GRUPO AEROPORTUARIO DEL CENTRO NOR","Industrials","Equity","16,121,867.49","1.48","16,121,867.49","2,729,292.00","-","MX01OM000018","B1KFX13","5.91","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"PINFRA*","PROMOTORA Y OPERADORA DE INFRAESTR","Industrials","Equity","15,138,653.83","1.39","15,138,653.83","1,870,115.00","S23933880","MX01PI000005","2393388","8.10","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"ALFAA","ALFA A","Industrials","Equity","14,539,719.16","1.33","14,539,719.16","18,589,351.00","S20434239","MXP000511016","2043423","0.78","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"KOFUBL","COCA-COLA FEMSA CLASS UBL UNITS","Consumer Staples","Equity","14,168,027.31","1.30","14,168,027.31","3,124,143.00","-","MX01KO000002","BHHP0S4","4.54","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"SITESB.1","TELESITES B-1","Communication","Equity","12,213,633.90","1.12","12,213,633.90","12,011,846.00","-","MX01SI080038","BD0G5P8","1.02","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"CUERVO*","BECLE SA DE CV","Consumer Staples","Equity","10,658,721.89","0.98","10,658,721.89","4,455,600.00","-","MX01CU010003","BYM4063","2.39","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"TERRA13","TERRAFINA DE CV REIT SA","Real Estate","Equity","10,011,354.70","0.92","10,011,354.70","7,037,200.00","-","MXCFTE0B0005","B87Y2V5","1.42","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"FIBRAPL14","PROLOGIS PROPERTY MEXICO REIT SA","Real Estate","Equity","9,910,337.08","0.91","9,910,337.08","4,564,166.00","-","MXCFFI170008","BN56JP1","2.17","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"VESTA*","CORPORACION INMOBILIARIA VESTA","Real Estate","Equity","9,848,025.56","0.90","9,848,025.56","5,338,549.00","-","MX01VE0M0003","B8F6ZF8","1.84","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"LACOMERUBC","LA COMER UBC","Consumer Staples","Equity","9,396,892.06","0.86","9,396,892.06","4,829,955.00","-","MX01LA050010","BZ8W8S6","1.95","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"MEGACPO","MEGACABLE HOLDINGS CPO","Communication","Equity","9,318,092.28","0.86","9,318,092.28","2,648,900.00","-","MX01ME090003","B292SM8","3.52","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"FIBRAMQ12","MACQUARIE MEXICO REAL ESTATE MANAG","Real Estate","Equity","9,267,100.92","0.85","9,267,100.92","7,215,100.00","-","MXCFFI0U0002","B80RZK1","1.28","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"GCARSOA1","GRUPO CARSO SERIES A1","Industrials","Equity","8,943,180.58","0.82","8,943,180.58","3,889,633.00","S23934524","MXP461181085","2393452","2.30","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"BOLSAA","BOLSA MEXICANA DE VALORES","Financials","Equity","8,935,160.88","0.82","8,935,160.88","3,994,687.00","-","MX01BM1B0000","B39VVF6","2.24","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"Q*","QUALITAS CONTROLADORA","Financials","Equity","8,884,227.17","0.82","8,884,227.17","1,925,200.00","-","MX01Q0000008","BYMXF65","4.61","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"GCC*","GRUPO CEMENTOS","Materials","Equity","8,161,626.24","0.75","8,161,626.24","1,555,100.00","S29466638","MX01GC2M0006","2946663","5.25","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"RA","REGIONAL SAB DE CV","Financials","Equity","7,246,534.08","0.67","7,246,534.08","2,028,800.00","-","MX01R0000006","BG1Z6X0","3.57","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"LABB","GENOMMA LAB INTERNATIONAL","Health Care","Equity","7,179,157.34","0.66","7,179,157.34","7,858,993.00","-","MX01LA010006","B3B1C73","0.91","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"BBAJIOO","BANCO DEL BAJIO INSTITUCION DE BAN","Financials","Equity","6,773,402.67","0.62","6,773,402.67","6,333,630.00","-","MX41BB000000","BYSX0F3","1.07","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"VOLARA","CONTROLADORA VUELA COMPANIA DE AVI","Industrials","Equity","6,425,724.67","0.59","6,425,724.67","6,092,600.00","-","MX01VO000009","BDZDPH6","1.05","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"AXTELCPO","AXTEL CPO","Communication","Equity","5,245,487.86","0.48","5,245,487.86","12,925,200.00","-","MX01AX040009","B0T0DH8","0.41","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"ALSEA*","ALSEA DE CV","Consumer Discretionary","Equity","5,235,233.83","0.48","5,235,233.83","4,817,766.00","S25630179","MXP001391012","2563017","1.09","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"CHDRAUIB","GRUPO COMERCIAL CHEDRAUI","Consumer Staples","Equity","4,934,188.85","0.45","4,934,188.85","3,619,800.00","-","MX01CH170002","B457NQ0","1.36","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"HERDEZ*","GRUPO HERDEZ","Consumer Staples","Equity","4,617,905.81","0.42","4,617,905.81","2,398,444.00","S29629599","MX01HE010008","2962959","1.93","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"AGUA*","GRUPO ROTOPLAS","Industrials","Equity","3,651,800.48","0.34","3,651,800.48","3,230,445.00","-","MX01AG050009","BTF8HD3","1.13","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"DANHOS13","FIBRA DANHOS REIT SA","Real Estate","Equity","3,500,857.66","0.32","3,500,857.66","3,136,500.00","-","MXCFDA020005","BFN0V08","1.12","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"GENTERA*","GENTERA SAB DE CV","Financials","Equity","3,449,476.11","0.32","3,449,476.11","9,752,806.00","-","MX01GE0E0004","BHWQZW1","0.35","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
"ALPEKA","ALPEK SA DE CV","Materials","Equity","3,202,424.18","0.29","3,202,424.18","3,989,000.00","-","MX01AL0C0004","B85H8C9","0.80","Mexico","Bolsa Mexicana De Valores","USD","20.33","-","MXN"
