iShares MSCI Mexico ETF
Fund Holdings as of,"Dec 16, 2020"
Inception Date,"Mar 12, 1996"
Shares Outstanding,"28,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AMXL","AMERICA MOVIL L","Communication","Equity","192,638,132.14","15.59","192,638,132.14","266,261,518.00","S26674705","MXP001691213","2667470","0.72","Mexico","Bolsa Mexicana De Valores","USD","19.96","MXN","-"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Consumer Staples","Equity","115,798,535.16","9.37","115,798,535.16","14,952,410.00","S22420590","MXP320321310","2242059","7.74","Mexico","Bolsa Mexicana De Valores","USD","19.96","MXN","-"
"WALMEX*","WALMART DE MEXICO V","Consumer Staples","Equity","112,638,871.21","9.11","112,638,871.21","40,303,533.00","-","MX01WA000038","BW1YVH8","2.79","Mexico","Bolsa Mexicana De Valores","USD","19.96","MXN","-"
"GFNORTEO","GPO FINANCE BANORTE","Financials","Equity","101,214,611.28","8.19","101,214,611.28","18,419,961.00","S24210411","MXP370711014","2421041","5.49","Mexico","Bolsa Mexicana De Valores","USD","19.96","MXN","-"
"GMEXICOB","GRUPO MEXICO B","Materials","Equity","64,381,756.52","5.21","64,381,756.52","15,990,286.00","S26436741","MXP370841019","2643674","4.03","Mexico","Bolsa Mexicana De Valores","USD","19.96","MXN","-"
"CEMEXCPO","CEMEX CPO","Materials","Equity","58,118,960.01","4.70","58,118,960.01","110,264,429.00","S24064578","MXP225611567","2406457","0.53","Mexico","Bolsa Mexicana De Valores","USD","19.96","MXN","-"
"GAPB","GRUPO AEROPORTUARIO DEL PACIFICO","Industrials","Equity","35,887,965.41","2.90","35,887,965.41","3,234,349.00","-","MX01GA000004","B0ZV104","11.10","Mexico","Bolsa Mexicana De Valores","USD","19.96","MXN","-"
"TLEVISACPO","GRUPO TELEVISA","Communication","Equity","33,401,221.36","2.70","33,401,221.36","20,386,747.00","S23801087","MXP4987V1378","2380108","1.64","Mexico","Bolsa Mexicana De Valores","USD","19.96","MXN","-"
"BIMBOA","GRUPO BIMBO A","Consumer Staples","Equity","30,518,891.57","2.47","30,518,891.57","14,149,104.00","S23924715","MXP495211262","2392471","2.16","Mexico","Bolsa Mexicana De Valores","USD","19.96","MXN","-"
"FUNO11","FIBRA UNO ADMINISTRACION REIT SA","Real Estate","Equity","30,246,961.86","2.45","30,246,961.86","27,035,000.00","-","MXCFFU000001","B671GT8","1.12","Mexico","Bolsa Mexicana De Valores","USD","19.96","MXN","-"
