iShares MSCI India ETF
Fund Holdings as of,"Nov 12, 2020"
Inception Date,"Feb 02, 2012"
Shares Outstanding,"91,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","442,221,361.91","13.39","442,221,361.91","16,671,522.00","S60996261","INE002A01018","6099626","26.53","India","National Stock Exchange Of India","USD","74.65","-","INR"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","300,437,058.82","9.10","300,437,058.82","9,616,279.00","S61719001","INE001A01036","6171900","31.24","India","National Stock Exchange Of India","USD","74.65","-","INR"
"INFY","INFOSYS LTD","Information Technology","Equity","298,178,429.19","9.03","298,178,429.19","19,912,797.00","S62051222","INE009A01021","6205122","14.97","India","National Stock Exchange Of India","USD","74.65","-","INR"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","190,397,933.08","5.77","190,397,933.08","29,813,832.00","-","INE090A01021","BSZ2BY7","6.39","India","National Stock Exchange Of India","USD","74.65","-","INR"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","188,331,765.33","5.70","188,331,765.33","5,263,108.00","-","INE467B01029","B01NPJ1","35.78","India","National Stock Exchange Of India","USD","74.65","-","INR"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Consumer Staples","Equity","141,135,412.26","4.27","141,135,412.26","4,805,918.00","S62616743","INE030A01027","6261674","29.37","India","National Stock Exchange Of India","USD","74.65","-","INR"
"AXISBANK","AXIS BANK LTD","Financials","Equity","106,318,948.70","3.22","106,318,948.70","13,233,580.00","-","INE238A01034","BPFJHC7","8.03","India","National Stock Exchange Of India","USD","74.65","-","INR"
"HCLTECH","HCL TECHNOLOGIES LTD","Information Technology","Equity","70,086,628.74","2.12","70,086,628.74","6,343,660.00","S62948963","INE860A01027","6294896","11.05","India","National Stock Exchange Of India","USD","74.65","-","INR"
"MARUTI","MARUTI SUZUKI INDIA LTD","Consumer Discretionary","Equity","64,678,643.49","1.96","64,678,643.49","706,164.00","S66337122","INE585B01010","6633712","91.59","India","National Stock Exchange Of India","USD","74.65","-","INR"
"BAJFINANCE","BAJAJ FINANCE LTD","Financials","Equity","60,569,435.86","1.83","60,569,435.86","1,051,859.00","-","INE296A01024","BD2N0P2","57.58","India","National Stock Exchange Of India","USD","74.65","-","INR"
"ASIANPAINT","ASIAN PAINTS LTD","Materials","Equity","48,929,669.13","1.48","48,929,669.13","1,681,718.00","-","INE021A01026","BCRWL65","29.10","India","National Stock Exchange Of India","USD","74.65","-","INR"
"BHARTIARTL","BHARTI AIRTEL LTD","Communication","Equity","47,121,456.42","1.43","47,121,456.42","7,330,168.00","S64423270","INE397D01024","6442327","6.43","India","National Stock Exchange Of India","USD","74.65","-","INR"
"ULTRACEMCO","ULTRATECH CEMENT LTD","Materials","Equity","43,771,751.46","1.33","43,771,751.46","674,221.00","-","INE481G01011","B01GZF6","64.92","India","National Stock Exchange Of India","USD","74.65","-","INR"
"ITC","ITC LTD","Consumer Staples","Equity","43,420,963.07","1.32","43,420,963.07","17,240,201.00","-","INE154A01025","B0JGGP5","2.52","India","National Stock Exchange Of India","USD","74.65","-","INR"
"DRREDDY","DR REDDYS LABORATORIES LTD","Health Care","Equity","43,227,353.25","1.31","43,227,353.25","668,491.00","S64109598","INE089A01023","6410959","64.66","India","National Stock Exchange Of India","USD","74.65","-","INR"
"LT","LARSEN AND TOUBRO LTD","Industrials","Equity","40,101,664.65","1.21","40,101,664.65","2,789,218.00","-","INE018A01030","B0166K8","14.38","India","National Stock Exchange Of India","USD","74.65","-","INR"
