iShares MSCI India ETF
Fund Holdings as of,"Dec 15, 2020"
Inception Date,"Feb 02, 2012"
Shares Outstanding,"98,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","415,921,020.11","10.85","415,921,020.11","15,513,695.00","S60996261","INE002A01018","6099626","26.81","India","National Stock Exchange Of India","USD","73.64","INR","-"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","295,603,225.08","7.71","295,603,225.08","9,262,008.00","S61719001","INE001A01036","6171900","31.92","India","National Stock Exchange Of India","USD","73.64","INR","-"
"INFY","INFOSYS LTD","Information Technology","Equity","290,532,181.83","7.58","290,532,181.83","18,530,674.00","S62051222","INE009A01021","6205122","15.68","India","National Stock Exchange Of India","USD","73.64","INR","-"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","195,211,573.92","5.09","195,211,573.92","27,749,963.00","-","INE090A01021","BSZ2BY7","7.03","India","National Stock Exchange Of India","USD","73.64","INR","-"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","191,304,869.24","4.99","191,304,869.24","5,101,544.00","-","INE467B01029","B01NPJ1","37.50","India","National Stock Exchange Of India","USD","73.64","INR","-"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Consumer Staples","Equity","140,888,602.13","3.67","140,888,602.13","4,472,054.00","S62616743","INE030A01027","6261674","31.50","India","National Stock Exchange Of India","USD","73.64","INR","-"
"BAJFINANCE","BAJAJ FINANCE LTD","Financials","Equity","102,574,719.32","2.67","102,574,719.32","1,474,643.00","-","INE296A01024","BD2N0P2","69.56","India","National Stock Exchange Of India","USD","73.64","INR","-"
"AXISBANK","AXIS BANK LTD","Financials","Equity","101,503,212.40","2.65","101,503,212.40","12,312,552.00","-","INE238A01034","BPFJHC7","8.24","India","National Stock Exchange Of India","USD","73.64","INR","-"
"KOTAKBANK","KOTAK MAHINDRA BANK LTD","Financials","Equity","79,855,865.99","2.08","79,855,865.99","3,014,010.00","S61356614","INE237A01028","6135661","26.49","India","National Stock Exchange Of India","USD","73.64","INR","-"
"MARUTI","MARUTI SUZUKI INDIA LTD","Consumer Discretionary","Equity","77,949,960.98","2.03","77,949,960.98","739,246.00","S66337122","INE585B01010","6633712","105.45","India","National Stock Exchange Of India","USD","73.64","INR","-"
"ASIANPAINT","ASIAN PAINTS LTD","Materials","Equity","71,610,448.40","1.87","71,610,448.40","2,086,519.00","-","INE021A01026","BCRWL65","34.32","India","National Stock Exchange Of India","USD","73.64","INR","-"
"HCLTECH","HCL TECHNOLOGIES LTD","Information Technology","Equity","71,019,187.75","1.85","71,019,187.75","5,902,969.00","S62948963","INE860A01027","6294896","12.03","India","National Stock Exchange Of India","USD","73.64","INR","-"
"LT","LARSEN AND TOUBRO LTD","Industrials","Equity","63,314,746.12","1.65","63,314,746.12","3,741,349.00","-","INE018A01030","B0166K8","16.92","India","National Stock Exchange Of India","USD","73.64","INR","-"
"BHARTIARTL","BHARTI AIRTEL LTD","Communication","Equity","46,719,219.58","1.22","46,719,219.58","6,823,721.00","S64423270","INE397D01024","6442327","6.85","India","National Stock Exchange Of India","USD","73.64","INR","-"
"ITC","ITC LTD","Consumer Staples","Equity","46,570,257.89","1.21","46,570,257.89","16,059,706.00","-","INE154A01025","B0JGGP5","2.90","India","National Stock Exchange Of India","USD","73.64","INR","-"
"NESTLEIND","NESTLE INDIA LTD","Consumer Staples","Equity","45,328,462.62","1.18","45,328,462.62","183,514.00","S61286050","INE239A01016","6128605","247.00","India","National Stock Exchange Of India","USD","73.64","INR","-"
"ULTRACEMCO","ULTRATECH CEMENT LTD","Materials","Equity","43,964,855.36","1.15","43,964,855.36","627,841.00","-","INE481G01011","B01GZF6","70.03","India","National Stock Exchange Of India","USD","73.64","INR","-"
"DRREDDY","DR REDDYS LABORATORIES LTD","Health Care","Equity","43,239,719.44","1.13","43,239,719.44","632,888.00","S64109598","INE089A01023","6410959","68.32","India","National Stock Exchange Of India","USD","73.64","INR","-"
"TECHM","TECH MAHINDRA LTD","Information Technology","Equity","42,998,603.86","1.12","42,998,603.86","3,415,700.00","-","INE669C01036","BWFGD63","12.59","India","National Stock Exchange Of India","USD","73.64","INR","-"
"M&M","MAHINDRA AND MAHINDRA LTD","Consumer Discretionary","Equity","42,842,192.30","1.12","42,842,192.30","4,394,465.00","S61001863","INE101A01026","6100186","9.75","India","National Stock Exchange Of India","USD","73.64","INR","-"
"TITAN","TITAN COMPANY LTD","Consumer Discretionary","Equity","38,516,062.82","1.00","38,516,062.82","1,931,179.00","S61393401","INE280A01028","6139340","19.94","India","National Stock Exchange Of India","USD","73.64","INR","-"
"SBIN","STATE BANK OF INDIA","Financials","Equity","35,672,050.38","0.93","35,672,050.38","9,706,185.00","-","INE062A01020","BSQCB24","3.68","India","National Stock Exchange Of India","USD","73.64","INR","-"
"DIVISLAB","DIVIS LABORATORIES LTD","Health Care","Equity","35,565,094.69","0.93","35,565,094.69","721,834.00","S66025180","INE361B01024","6602518","49.27","India","National Stock Exchange Of India","USD","73.64","INR","-"
"SUNPHARMA","SUN PHARMACEUTICAL INDUSTRIES LTD","Health Care","Equity","35,449,014.56","0.92","35,449,014.56","4,566,700.00","S65824831","INE044A01036","6582483","7.76","India","National Stock Exchange Of India","USD","73.64","INR","-"
"NTPC","NTPC LTD","Utilities","Equity","34,803,705.66","0.91","34,803,705.66","24,213,811.00","-","INE733E01010","B037HF1","1.44","India","National Stock Exchange Of India","USD","73.64","INR","-"
"HDFCLIFE","HDFC LIFE INSURANCE COMPANY LTD","Financials","Equity","34,000,369.06","0.89","34,000,369.06","3,843,537.00","-","INE795G01014","BF0TRG6","8.85","India","National Stock Exchange Of India","USD","73.64","INR","-"
"TATASTEEL","TATA STEEL LTD","Materials","Equity","31,711,550.72","0.83","31,711,550.72","3,675,640.00","S61011565","INE081A01012","6101156","8.63","India","National Stock Exchange Of India","USD","73.64","INR","-"
"DMART","AVENUE SUPERMARTS LTD","Consumer Staples","Equity","31,571,975.88","0.82","31,571,975.88","880,680.00","-","INE192R01011","BYW1G33","35.85","India","National Stock Exchange Of India","USD","73.64","INR","-"
"BRITANNIA","BRITANNIA INDUSTRIES LTD","Consumer Staples","Equity","30,122,354.69","0.79","30,122,354.69","589,100.00","-","INE216A01030","BGSQG47","51.13","India","National Stock Exchange Of India","USD","73.64","INR","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","29,880,000.00","0.78","29,880,000.00","29,880,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"POWERGRID","POWER GRID CORPORATION OF INDIA LT","Utilities","Equity","29,793,838.17","0.78","29,793,838.17","11,380,149.00","-","INE752E01010","B233HS6","2.62","India","National Stock Exchange Of India","USD","73.64","INR","-"
"WIPRO","WIPRO LTD","Information Technology","Equity","29,767,190.33","0.78","29,767,190.33","6,215,283.00","S62060512","INE075A01022","6206051","4.79","India","National Stock Exchange Of India","USD","73.64","INR","-"
"ADANIGREEN","ADANI GREEN ENERGY LTD","Utilities","Equity","29,268,095.07","0.76","29,268,095.07","2,126,351.00","-","INE364U01010","BD6H7M6","13.76","India","National Stock Exchange Of India","USD","73.64","INR","-"
"HINDALCO","HINDALCO INDUSTRIES LTD","Materials","Equity","28,395,936.91","0.74","28,395,936.91","8,551,003.00","-","INE038A01020","B0GWF48","3.32","India","National Stock Exchange Of India","USD","73.64","INR","-"
"HEROMOTOCO","HERO MOTOCORP LTD","Consumer Discretionary","Equity","27,544,376.74","0.72","27,544,376.74","651,738.00","S63273270","INE158A01026","6327327","42.26","India","National Stock Exchange Of India","USD","73.64","INR","-"
"BAJAJFINSV","BAJAJ FINSERV LTD","Financials","Equity","26,220,952.78","0.68","26,220,952.78","207,700.00","-","INE918I01018","B2QKWK1","126.24","India","National Stock Exchange Of India","USD","73.64","INR","-"
"CIPLA","CIPLA LTD","Health Care","Equity","25,598,550.58","0.67","25,598,550.58","2,411,746.00","-","INE059A01026","B011108","10.61","India","National Stock Exchange Of India","USD","73.64","INR","-"
"SBILIFE","SBI LIFE INSURANCE COMPANY LTD","Financials","Equity","25,291,712.59","0.66","25,291,712.59","2,175,362.00","-","INE123W01016","BZ60N32","11.63","India","National Stock Exchange Of India","USD","73.64","INR","-"
"TATACONSUM","TATA CONSUMER PRODUCTS LTD","Consumer Staples","Equity","25,271,036.68","0.66","25,271,036.68","3,257,522.00","S61214888","INE192A01025","6121488","7.76","India","National Stock Exchange Of India","USD","73.64","INR","-"
"EICHERMOT","EICHER MOTORS LTD","Consumer Discretionary","Equity","24,970,001.12","0.65","24,970,001.12","742,911.00","-","INE066A01021","BMW4CV8","33.61","India","National Stock Exchange Of India","USD","73.64","INR","-"
"NAUKRI","INFO EDGE INDIA LTD","Communication","Equity","24,223,472.75","0.63","24,223,472.75","384,535.00","-","INE663F01024","B1685L0","62.99","India","National Stock Exchange Of India","USD","73.64","INR","-"
"JSWSTEEL","JSW STEEL LTD","Materials","Equity","22,859,800.31","0.60","22,859,800.31","4,600,855.00","-","INE019A01038","BZBYJJ7","4.97","India","National Stock Exchange Of India","USD","73.64","INR","-"
"TATAMOTORS","TATA MOTORS LTD","Consumer Discretionary","Equity","22,444,655.41","0.59","22,444,655.41","9,239,131.00","-","INE155A01022","B611LV1","2.43","India","National Stock Exchange Of India","USD","73.64","INR","-"
"BANDHANBNK","BANDHAN BANK LTD","Financials","Equity","22,055,276.04","0.58","22,055,276.04","3,940,812.00","-","INE545U01014","BG1SV45","5.60","India","National Stock Exchange Of India","USD","73.64","INR","-"
"ICICIGI","ICICI LOMBARD GENERAL INSURANCE CO","Financials","Equity","21,985,067.90","0.57","21,985,067.90","1,112,204.00","-","INE765G01017","BYXH7P9","19.77","India","National Stock Exchange Of India","USD","73.64","INR","-"
"GODREJCP","GODREJ CONSUMER PRODUCTS LTD","Consumer Staples","Equity","21,830,282.53","0.57","21,830,282.53","2,224,179.00","-","INE102D01028","B1BDGY0","9.81","India","National Stock Exchange Of India","USD","73.64","INR","-"
"DABUR","DABUR INDIA LTD","Consumer Staples","Equity","20,119,691.48","0.52","20,119,691.48","2,883,457.00","S62973565","INE016A01026","6297356","6.98","India","National Stock Exchange Of India","USD","73.64","INR","-"
"VEDL","VEDANTA LTD","Materials","Equity","20,004,137.77","0.52","20,004,137.77","10,107,408.00","S61360400","INE205A01025","6136040","1.98","India","National Stock Exchange Of India","USD","73.64","INR","-"
"GRASIM","GRASIM INDUSTRIES LTD","Materials","Equity","19,939,378.27","0.52","19,939,378.27","1,610,072.00","-","INE047A01021","BYQKH33","12.38","India","National Stock Exchange Of India","USD","73.64","INR","-"
"SHREECEM","SHREE CEMENT LTD","Materials","Equity","19,389,931.07","0.51","19,389,931.07","58,860.00","S61003570","INE070A01015","6100357","329.42","India","National Stock Exchange Of India","USD","73.64","INR","-"
"BPCL","BHARAT PETROLEUM LTD","Energy","Equity","19,155,543.89","0.50","19,155,543.89","3,539,042.00","S60997236","INE029A01011","6099723","5.41","India","National Stock Exchange Of India","USD","73.64","INR","-"
"AUROPHARMA","AUROBINDO PHARMA LTD","Health Care","Equity","18,918,328.11","0.49","18,918,328.11","1,593,222.00","S67026344","INE406A01037","6702634","11.87","India","National Stock Exchange Of India","USD","73.64","INR","-"
"ONGC","OIL AND NATURAL GAS LTD","Energy","Equity","18,663,622.96","0.49","18,663,622.96","13,682,786.00","S61393625","INE213A01029","6139362","1.36","India","National Stock Exchange Of India","USD","73.64","INR","-"
"PIDILITIND","PIDILITE INDUSTRIES LTD","Materials","Equity","18,241,325.94","0.48","18,241,325.94","828,990.00","-","INE318A01026","B0JJV59","22.00","India","National Stock Exchange Of India","USD","73.64","INR","-"
"ADANIPORTS","ADANI PORTS AND SPECIAL ECONOMIC Z","Industrials","Equity","17,844,942.07","0.47","17,844,942.07","2,762,262.00","-","INE742F01042","B28XXH2","6.46","India","National Stock Exchange Of India","USD","73.64","INR","-"
"BAJAJ.AUTO","BAJAJ AUTO LTD","Consumer Discretionary","Equity","16,778,498.81","0.44","16,778,498.81","377,672.00","-","INE917I01010","B2QKXW0","44.43","India","National Stock Exchange Of India","USD","73.64","INR","-"
"UPL","UPL LTD","Materials","Equity","16,484,204.45","0.43","16,484,204.45","2,704,853.00","-","INE628A01036","B0L0W35","6.09","India","National Stock Exchange Of India","USD","73.64","INR","-"
"LUPIN","LUPIN LTD","Health Care","Equity","15,800,311.82","0.41","15,800,311.82","1,232,078.00","S61437612","INE326A01037","6143761","12.82","India","National Stock Exchange Of India","USD","73.64","INR","-"
"APOLLOHOSP","APOLLO HOSPITALS ENTERPRISE LTD","Health Care","Equity","15,727,973.95","0.41","15,727,973.95","491,783.00","S62735832","INE437A01024","6273583","31.98","India","National Stock Exchange Of India","USD","73.64","INR","-"
"MARICO","MARICO LTD","Consumer Staples","Equity","15,577,056.18","0.41","15,577,056.18","2,808,160.00","-","INE196A01026","B1S34K5","5.55","India","National Stock Exchange Of India","USD","73.64","INR","-"
"SRTRANSFIN","SHRIRAM TRANSPORT FINANCE COMPANY","Financials","Equity","15,333,918.34","0.40","15,333,918.34","1,033,713.00","S68026087","INE721A01013","6802608","14.83","India","National Stock Exchange Of India","USD","73.64","INR","-"
"JUBLFOOD","JUBILANT FOODWORKS LTD","Consumer Discretionary","Equity","15,094,894.34","0.39","15,094,894.34","430,604.00","-","INE797F01012","B3PRM66","35.06","India","National Stock Exchange Of India","USD","73.64","INR","-"
"ZEEL","ZEE ENTERTAINMENT ENTERPRISES LTD","Communication","Equity","14,805,183.53","0.39","14,805,183.53","4,699,529.00","S61885356","INE256A01028","6188535","3.15","India","National Stock Exchange Of India","USD","73.64","INR","-"
"PETRONET","PETRONET LNG LTD","Energy","Equity","14,775,574.27","0.39","14,775,574.27","4,077,610.00","-","INE347G01014","B00KT68","3.62","India","National Stock Exchange Of India","USD","73.64","INR","-"
"MOTHERSUMI","MOTHERSON SUMI SYSTEMS LTD","Consumer Discretionary","Equity","14,694,382.13","0.38","14,694,382.13","6,879,409.00","S67439901","INE775A01035","6743990","2.14","India","National Stock Exchange Of India","USD","73.64","INR","-"
"GAIL","GAIL INDIA LTD","Utilities","Equity","14,692,222.56","0.38","14,692,222.56","8,638,499.00","S61334058","INE129A01019","6133405","1.70","India","National Stock Exchange Of India","USD","73.64","INR","-"
"COLPAL","COLGATE PALMOLIVE INDIA LTD","Consumer Staples","Equity","14,518,943.14","0.38","14,518,943.14","666,196.00","S61396966","INE259A01022","6139696","21.79","India","National Stock Exchange Of India","USD","73.64","INR","-"
"PIIND","P.I. INDUSTRIES LTD","Materials","Equity","14,467,438.27","0.38","14,467,438.27","453,775.00","-","INE603J01030","B992PT3","31.88","India","National Stock Exchange Of India","USD","73.64","INR","-"
"BIOCON","BIOCON LTD","Health Care","Equity","14,117,536.58","0.37","14,117,536.58","2,283,441.00","S67412510","INE376G01013","6741251","6.18","India","National Stock Exchange Of India","USD","73.64","INR","-"
"HAVELLS","HAVELLS INDIA LTD","Industrials","Equity","13,987,336.32","0.36","13,987,336.32","1,191,099.00","-","INE176B01034","BQGZWP9","11.74","India","National Stock Exchange Of India","USD","73.64","INR","-"
"YESBANK","YES BANK LTD","Financials","Equity","13,478,101.02","0.35","13,478,101.02","54,238,309.00","-","INE528G01035","BL6CR27","0.25","India","National Stock Exchange Of India","USD","73.64","INR","-"
"IOC","INDIAN OIL CORP LTD","Energy","Equity","13,281,889.70","0.35","13,281,889.70","10,247,371.00","S62537675","INE242A01010","6253767","1.30","India","National Stock Exchange Of India","USD","73.64","INR","-"
"COALINDIA","COAL INDIA LTD","Energy","Equity","13,017,965.90","0.34","13,017,965.90","6,699,340.00","-","INE522F01014","B4Z9XF5","1.94","India","National Stock Exchange Of India","USD","73.64","INR","-"
"MCDOWELL.N","UNITED SPIRITS LTD","Consumer Staples","Equity","12,750,167.12","0.33","12,750,167.12","1,579,933.00","-","INE854D01024","BYWFSB7","8.07","India","National Stock Exchange Of India","USD","73.64","INR","-"
"ICICIPRULI","ICICI PRUDENTIAL LIFE INSURANCE CO","Financials","Equity","12,723,060.57","0.33","12,723,060.57","1,951,386.00","-","INE726G01019","BYXL8H0","6.52","India","National Stock Exchange Of India","USD","73.64","INR","-"
"AMBUJACEM","AMBUJA CEMENTS LTD","Materials","Equity","12,718,350.52","0.33","12,718,350.52","3,782,759.00","-","INE079A01024","B09QQ11","3.36","India","National Stock Exchange Of India","USD","73.64","INR","-"
"LTI","LARSEN & TOUBRO INFOTECH LTD","Information Technology","Equity","12,617,912.13","0.33","12,617,912.13","284,760.00","-","INE214T01019","BD6F8V6","44.31","India","National Stock Exchange Of India","USD","73.64","INR","-"
"BERGEPAINT","BERGER PAINTS INDIA LTD","Materials","Equity","12,262,107.50","0.32","12,262,107.50","1,319,711.00","-","INE463A01038","BV8TBJ1","9.29","India","National Stock Exchange Of India","USD","73.64","INR","-"
"INDIGO","INTERGLOBE AVIATION LTD","Industrials","Equity","11,799,280.81","0.31","11,799,280.81","523,514.00","-","INE646L01027","BYYZ7D0","22.54","India","National Stock Exchange Of India","USD","73.64","INR","-"
"IPCALAB","IPCA LABORATORIES LTD","Health Care","Equity","11,532,113.73","0.30","11,532,113.73","378,700.00","S64334733","INE571A01020","6433473","30.45","India","National Stock Exchange Of India","USD","73.64","INR","-"
"HINDPETRO","HINDUSTAN PETROLEUM CORP LTD","Energy","Equity","11,458,020.99","0.30","11,458,020.99","3,726,197.00","S61004768","INE094A01015","6100476","3.07","India","National Stock Exchange Of India","USD","73.64","INR","-"
"IGL","INDRAPRASTHA GAS LTD","Utilities","Equity","11,230,723.91","0.29","11,230,723.91","1,711,805.00","-","INE203G01027","BD9PXD0","6.56","India","National Stock Exchange Of India","USD","73.64","INR","-"
"HDFCAMC","HDFC ASSET MANAGEMENT COMPANY LTD","Financials","Equity","10,974,133.89","0.29","10,974,133.89","289,581.00","-","INE127D01025","BG0R3M5","37.90","India","National Stock Exchange Of India","USD","73.64","INR","-"
"MRF","MRF LTD","Consumer Discretionary","Equity","10,887,308.21","0.28","10,887,308.21","10,374.00","S62141288","INE883A01011","6214128","1,049.48","India","National Stock Exchange Of India","USD","73.64","INR","-"
"MUTHOOTFIN","MUTHOOT FINANCE LTD","Financials","Equity","10,682,444.08","0.28","10,682,444.08","654,423.00","-","INE414G01012","B40MFF3","16.32","India","National Stock Exchange Of India","USD","73.64","INR","-"
"BALKRISIND","BALKRISHNA INDUSTRIES LTD","Consumer Discretionary","Equity","10,468,298.31","0.27","10,468,298.31","473,039.00","S63887889","INE787D01026","6388788","22.13","India","National Stock Exchange Of India","USD","73.64","INR","-"
"TORNTPHARM","TORRENT PHARMACEUTICALS LTD","Health Care","Equity","10,312,659.20","0.27","10,312,659.20","276,244.00","-","INE685A01028","B0XPSB8","37.33","India","National Stock Exchange Of India","USD","73.64","INR","-"
"PAGEIND","PAGE INDUSTRIES LTD","Consumer Discretionary","Equity","10,156,765.14","0.26","10,156,765.14","30,367.00","-","INE761H01022","B1VJS64","334.47","India","National Stock Exchange Of India","USD","73.64","INR","-"
"DLF","DLF LTD","Real Estate","Equity","9,819,332.29","0.26","9,819,332.29","3,370,404.00","-","INE271C01023","B1YLCV0","2.91","India","National Stock Exchange Of India","USD","73.64","INR","-"
"PEL","PIRAMAL ENTERPRISES LTD","Financials","Equity","9,640,434.53","0.25","9,640,434.53","490,074.00","-","INE140A01024","B058J56","19.67","India","National Stock Exchange Of India","USD","73.64","INR","-"
"BHARATFORG","BHARAT FORGE LTD","Consumer Discretionary","Equity","9,522,778.05","0.25","9,522,778.05","1,266,422.00","-","INE465A01025","B0C1DM3","7.52","India","National Stock Exchange Of India","USD","73.64","INR","-"
"TRENT","TRENT LTD","Consumer Discretionary","Equity","9,493,764.19","0.25","9,493,764.19","985,474.00","-","INE849A01020","BDDRN32","9.63","India","National Stock Exchange Of India","USD","73.64","INR","-"
"RECLTD","REC LTD","Financials","Equity","9,316,845.37","0.24","9,316,845.37","4,840,323.00","-","INE020B01018","B2Q7WL3","1.92","India","National Stock Exchange Of India","USD","73.64","INR","-"
"ACC","ACC LTD","Materials","Equity","9,061,834.24","0.24","9,061,834.24","408,294.00","S61559159","INE012A01025","6155915","22.19","India","National Stock Exchange Of India","USD","73.64","INR","-"
"CONCOR","CONTAINER CORPORATION OF INDIA LTD","Industrials","Equity","8,372,704.26","0.22","8,372,704.26","1,493,308.00","-","INE111A01025","BG0ZVG9","5.61","India","National Stock Exchange Of India","USD","73.64","INR","-"
"SIEMENS","SIEMENS LTD","Industrials","Equity","8,093,253.11","0.21","8,093,253.11","387,912.00","-","INE003A01024","B15T569","20.86","India","National Stock Exchange Of India","USD","73.64","INR","-"
"INFRATEL","BHARTI INFRATEL LTD","Communication","Equity","6,078,968.51","0.16","6,078,968.51","1,813,165.00","-","INE121J01017","B92P9G4","3.35","India","National Stock Exchange Of India","USD","73.64","INR","-"
"INR","INR CASH","Cash and/or Derivatives","Cash","5,396,773.79","0.14","5,396,773.79","397,431,914.00","-","-","-","1.36","India","-","USD","73.64","INR","-"
"WFFUT","CASH COLLATERAL USD WFFUT","Cash and/or Derivatives","Cash Collateral and Margins","162,000.00","0.00","162,000.00","162,000.00","-","-","-","100.00","United States","-","USD","1.00","USD","Aug 23, 2017"
"IICH1","MSCI INDIA FUTURE MAR 21","Cash and/or Derivatives","Futures","0.00","0.00","3,539,727.60","46.00","-","GB00H7QSZW74","-","769.51","India","IFLL","USD","1.00","USD","-"
"INR","INR/USD","Cash and/or Derivatives","FX","29.13","0.00","29.13","-418,255,037.00","-","-","-","1.00","United States","-","USD","73.65","USD","-"
"INR","INR/USD","Cash and/or Derivatives","FX","-297.17","0.00","-297.17","21,713,365.00","-","-","-","1.00","United States","-","USD","73.64","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","-15,532,447.11","-0.41","-15,532,447.11","-15,532,447.00","-","-","-","100.00","United States","-","USD","1.00","USD","-"
 
