iShares Core S&P 500 ETF
Fund Holdings as of,"Nov 27, 2020"
Inception Date,"May 15, 2000"
Shares Outstanding,"646,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"AAPL","APPLE INC","Information Technology","Equity","14,592,250,151.43","6.19","14,592,250,151.43","125,158,677.00","037833100","US0378331005","2046251","116.59","United States","NASDAQ","USD","1.00","-","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","12,680,492,617.07","5.38","12,680,492,617.07","58,916,009.00","594918104","US5949181045","2588173","215.23","United States","NASDAQ","USD","1.00","-","USD"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","10,591,542,372.56","4.49","10,591,542,372.56","3,314,684.00","023135106","US0231351067","2000019","3,195.34","United States","NASDAQ","USD","1.00","-","USD"
"FB","FACEBOOK CLASS A INC","Communication","Equity","5,200,046,746.57","2.21","5,200,046,746.57","18,717,997.00","30303M102","US30303M1027","B7TL820","277.81","United States","NASDAQ","USD","1.00","-","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","4,180,263,303.74","1.77","4,180,263,303.74","2,339,237.00","02079K305","US02079K3059","BYVY8G0","1,787.02","United States","NASDAQ","USD","1.00","-","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","4,098,741,005.94","1.74","4,098,741,005.94","2,285,726.00","02079K107","US02079K1079","BYY88Y7","1,793.19","United States","NASDAQ","USD","1.00","-","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","3,573,286,546.50","1.52","3,573,286,546.50","15,432,030.00","084670702","US0846707026","2073390","231.55","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","2,951,590,608.00","1.25","2,951,590,608.00","20,497,157.00","478160104","US4781601046","2475833","144.00","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","2,876,107,904.56","1.22","2,876,107,904.56","23,726,348.00","46625H100","US46625H1005","2190385","121.22","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"V","VISA INC CLASS A","Information Technology","Equity","2,769,588,532.00","1.17","2,769,588,532.00","13,126,012.00","92826C839","US92826C8394","B2PZN04","211.00","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","2,686,584,068.25","1.14","2,686,584,068.25","19,382,325.00","742718109","US7427181091","2704407","138.61","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"NVDA","NVIDIA CORP","Information Technology","Equity","2,548,035,140.75","1.08","2,548,035,140.75","4,803,535.00","67066G104","US67066G1040","2379504","530.45","United States","NASDAQ","USD","1.00","-","USD"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","2,500,303,160.40","1.06","2,500,303,160.40","7,398,660.00","91324P102","US91324P1021","2917766","337.94","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","2,331,826,434.68","0.99","2,331,826,434.68","6,877,124.00","57636Q104","US57636Q1040","B121557","339.07","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","2,312,944,958.61","0.98","2,312,944,958.61","8,380,539.00","437076102","US4370761029","2434209","275.99","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
