iShares Core S&P 500 ETF
Fund Holdings as of,"Dec 16, 2020"
Inception Date,"May 15, 2000"
Shares Outstanding,"661,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","15,800,917,685.80","6.68","15,800,917,685.80","123,628,180.00","037833100","US0378331005","2046251","127.81","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","12,761,108,362.88","5.40","12,761,108,362.88","58,195,496.00","594918104","US5949181045","2588173","219.28","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","10,611,288,714.24","4.49","10,611,288,714.24","3,274,119.00","023135106","US0231351067","2000019","3,240.96","United States","NASDAQ","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","5,096,881,375.56","2.16","5,096,881,375.56","18,489,068.00","30303M102","US30303M1027","B7TL820","275.67","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","4,060,115,769.87","1.72","4,060,115,769.87","2,310,573.00","02079K305","US02079K3059","BYVY8G0","1,757.19","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","3,980,279,262.00","1.68","3,980,279,262.00","2,257,674.00","02079K107","US02079K1079","BYY88Y7","1,763.00","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","3,382,660,452.99","1.43","3,382,660,452.99","15,243,389.00","084670702","US0846707026","2073390","221.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","3,030,315,207.48","1.28","3,030,315,207.48","20,246,644.00","478160104","US4781601046","2475833","149.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","2,828,048,184.72","1.20","2,828,048,184.72","23,436,216.00","46625H100","US46625H1005","2190385","120.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","2,700,322,602.30","1.14","2,700,322,602.30","12,965,490.00","92826C839","US92826C8394","B2PZN04","208.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
