iShares MSCI ACWI ETF
Fund Holdings as of,"Nov 25, 2020"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"164,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"AAPL","APPLE INC","Information Technology","Equity","502,973,457.71","3.55","502,973,457.71","4,334,857.00","037833100","US0378331005","2046251","116.03","United States","NASDAQ","USD","1.00","-","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","385,076,356.92","2.72","385,076,356.92","1,800,516.00","594918104","US5949181045","2588173","213.87","United States","NASDAQ","USD","1.00","-","USD"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","336,251,024.97","2.37","336,251,024.97","105,571.00","023135106","US0231351067","2000019","3,185.07","United States","NASDAQ","USD","1.00","-","USD"
"FB","FACEBOOK CLASS A INC","Communication","Equity","165,295,023.74","1.17","165,295,023.74","599,786.00","30303M102","US30303M1027","B7TL820","275.59","United States","NASDAQ","USD","1.00","-","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","133,980,336.62","0.95","133,980,336.62","75,634.00","02079K107","US02079K1079","BYY88Y7","1,771.43","United States","NASDAQ","USD","1.00","-","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","131,524,712.15","0.93","131,524,712.15","74,555.00","02079K305","US02079K3059","BYVY8G0","1,764.13","United States","NASDAQ","USD","1.00","-","USD"
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","130,378,153.48","0.92","130,378,153.48","469,459.00","01609W102","US01609W1027","BP41ZD1","277.72","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"INDA","ISHARES MSCI INDIA ETF","Financials","Equity","123,022,206.60","0.87","123,022,206.60","3,339,365.00","46429B598","US46429B5984","B6XGR72","36.84","United States","Cboe BZX formerly known as BATS","USD","1.00","-","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","106,821,400.00","0.75","106,821,400.00","186,100.00","88160R101","US88160R1014","B616C79","574.00","United States","NASDAQ","USD","1.00","-","USD"
"700","TENCENT HOLDINGS LTD","Communication","Equity","106,378,748.69","0.75","106,378,748.69","1,439,000.00","-","KYG875721634","BMMV2K8","73.93","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","104,419,989.12","0.74","104,419,989.12","6,112,000.00","S68891068","TW0002330008","6889106","17.08","Taiwan","Taiwan Stock Exchange","USD","28.51","-","TWD"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","94,700,062.72","0.67","94,700,062.72","659,104.00","478160104","US4781601046","2475833","143.68","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
