iShares MSCI ACWI ETF
Fund Holdings as of,"Dec 08, 2020"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"161,400,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"AAPL","APPLE INC","Information Technology","Equity","528,219,347.22","3.65","528,219,347.22","4,246,819.00","037833100","US0378331005","2046251","124.38","United States","NASDAQ","USD","1.00","-","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","385,645,893.15","2.66","385,645,893.15","1,785,315.00","594918104","US5949181045","2588173","216.01","United States","NASDAQ","USD","1.00","-","USD"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","335,429,682.59","2.32","335,429,682.59","105,571.00","023135106","US0231351067","2000019","3,177.29","United States","NASDAQ","USD","1.00","-","USD"
"FB","FACEBOOK CLASS A INC","Communication","Equity","169,545,467.00","1.17","169,545,467.00","598,255.00","30303M102","US30303M1027","B7TL820","283.40","United States","NASDAQ","USD","1.00","-","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","135,578,358.15","0.94","135,578,358.15","74,553.00","02079K107","US02079K1079","BYY88Y7","1,818.55","United States","NASDAQ","USD","1.00","-","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","135,043,708.15","0.93","135,043,708.15","74,555.00","02079K305","US02079K3059","BYVY8G0","1,811.33","United States","NASDAQ","USD","1.00","-","USD"
"INDA","ISHARES MSCI INDIA ETF","Financials","Equity","128,265,009.65","0.89","128,265,009.65","3,339,365.00","46429B598","US46429B5984","B6XGR72","38.41","United States","Cboe BZX formerly known as BATS","USD","1.00","-","USD"
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","124,918,345.31","0.86","124,918,345.31","469,459.00","01609W102","US01609W1027","BP41ZD1","266.09","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","120,817,241.16","0.83","120,817,241.16","185,907.00","88160R101","US88160R1014","B616C79","649.88","United States","NASDAQ","USD","1.00","-","USD"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","113,449,805.17","0.78","113,449,805.17","6,112,000.00","S68891068","TW0002330008","6889106","18.56","Taiwan","Taiwan Stock Exchange","USD","28.23","-","TWD"
"700","TENCENT HOLDINGS LTD","Communication","Equity","108,236,667.76","0.75","108,236,667.76","1,439,000.00","-","KYG875721634","BMMV2K8","75.22","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","99,114,912.40","0.68","99,114,912.40","654,008.00","478160104","US4781601046","2475833","151.55","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","92,428,542.00","0.64","92,428,542.00","757,611.00","46625H100","US46625H1005","2190385","122.00","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"V","VISA INC CLASS A","Information Technology","Equity","88,635,726.60","0.61","88,635,726.60","416,580.00","92826C839","US92826C8394","B2PZN04","212.77","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","84,808,670.65","0.59","84,808,670.65","614,333.00","742718109","US7427181091","2704407","138.05","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","82,112,353.00","0.57","82,112,353.00","236,050.00","91324P102","US91324P1021","2917766","347.86","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"NVDA","NVIDIA CORP","Information Technology","Equity","82,018,662.00","0.57","82,018,662.00","153,593.00","67066G104","US67066G1040","2379504","534.00","United States","NASDAQ","USD","1.00","-","USD"
"NESN","NESTLE SA","Consumer Staples","Equity","79,268,319.76","0.55","79,268,319.76","708,821.00","S71238703","CH0038863350","7123870","111.83","Switzerland","SIX Swiss Exchange","USD","0.89","-","CHF"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","79,035,660.21","0.55","79,035,660.21","346,359.00","084670702","US0846707026","2073390","228.19","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","77,347,085.13","0.53","77,347,085.13","1,170,886.00","S67717207","KR7005930003","6771720","66.06","Korea (South)","Korea Exchange (Stock Market)","USD","1,085.40","-","KRW"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","75,566,093.02","0.52","75,566,093.02","221,738.00","57636Q104","US57636Q1040","B121557","340.79","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
