iShares MSCI Emerging Markets ETF
Fund Holdings as of,"Nov 17, 2020"
Inception Date,"Apr 07, 2003"
Shares Outstanding,"540,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","1,772,438,479.20","6.74","1,772,438,479.20","6,902,019.00","01609W102","US01609W1027","BP41ZD1","256.80","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"700","TENCENT HOLDINGS LTD","Communication","Equity","1,580,618,738.03","6.01","1,580,618,738.03","21,071,700.00","-","KYG875721634","BMMV2K8","75.01","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","1,541,597,287.77","5.86","1,541,597,287.77","90,497,000.00","S68891068","TW0002330008","6889106","17.03","Taiwan","Taiwan Stock Exchange","USD","28.50","-","TWD"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","1,041,564,870.74","3.96","1,041,564,870.74","17,544,106.00","S67717207","KR7005930003","6771720","59.37","Korea (South)","Korea Exchange (Stock Market)","USD","1,106.65","-","KRW"
"3690","MEITUAN DIANPING","Consumer Discretionary","Equity","512,588,533.50","1.95","512,588,533.50","13,114,400.00","-","KYG596691041","BGJW376","39.09","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"NPN","NASPERS LIMITED N LTD","Consumer Discretionary","Equity","319,928,078.35","1.22","319,928,078.35","1,602,348.00","S66226911","ZAE000015889","6622691","199.66","South Africa","Johannesburg Stock Exchange","USD","15.42","-","ZAR"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","280,797,238.23","1.07","280,797,238.23","10,489,131.00","S60996261","INE002A01018","6099626","26.77","India","National Stock Exchange Of India","USD","74.46","-","INR"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","272,520,082.82","1.04","272,520,082.82","352,102,760.00","-","CNE1000002H1","B0LMTQ3","0.77","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"JD","JD.COM ADR REPRESENTING INC","Consumer Discretionary","Equity","271,996,761.66","1.03","271,996,761.66","3,127,478.00","47215P106","US47215P1066","BMM27D9","86.97","China","NASDAQ","USD","1.00","-","USD"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","248,608,637.60","0.95","248,608,637.60","21,925,500.00","-","CNE1000003X6","B01FLR7","11.34","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","190,655,071.08","0.72","190,655,071.08","6,043,295.00","S61719001","INE001A01036","6171900","31.55","India","National Stock Exchange Of India","USD","74.46","-","INR"
"INFY","INFOSYS LTD","Information Technology","Equity","188,998,062.13","0.72","188,998,062.13","12,523,203.00","S62051222","INE009A01021","6205122","15.09","India","National Stock Exchange Of India","USD","74.46","-","INR"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","185,169,999.99","0.70","185,169,999.99","185,170,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","-","USD"
"NIO","NIO AMERICAN DEPOSITARY SHARES REP","Consumer Discretionary","Equity","182,932,187.34","0.70","182,932,187.34","3,926,426.00","62914V106","US62914V1061","BFZX9H8","46.59","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"000660","SK HYNIX INC","Information Technology","Equity","178,377,029.96","0.68","178,377,029.96","2,012,242.00","S64502677","KR7000660001","6450267","88.65","Korea (South)","Korea Exchange (Stock Market)","USD","1,106.65","-","KRW"
"VALE3","CIA VALE DO RIO DOCE SH","Materials","Equity","169,781,908.63","0.65","169,781,908.63","13,586,609.00","S21962865","BRVALEACNOR0","2196286","12.50","Brazil","XBSP","USD","5.36","-","BRL"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Information Technology","Equity","161,860,940.68","0.62","161,860,940.68","3,035,990.00","S67738120","KR7005931001","6773812","53.31","Korea (South)","Korea Exchange (Stock Market)","USD","1,106.65","-","KRW"
"BIDU","BAIDU ADR REPTG INC CLASS A","Communication","Equity","144,515,972.72","0.55","144,515,972.72","1,004,141.00","056752108","US0567521085","B0FXT17","143.92","China","NASDAQ","USD","1.00","-","USD"
"941","CHINA MOBILE LTD","Communication","Equity","137,626,710.01","0.52","137,626,710.01","22,508,500.00","S60735560","HK0941009539","6073556","6.11","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"2454","MEDIATEK INC","Information Technology","Equity","135,835,765.97","0.52","135,835,765.97","5,562,338.00","S63724801","TW0002454006","6372480","24.42","Taiwan","Taiwan Stock Exchange","USD","28.50","-","TWD"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","134,834,207.00","0.51","134,834,207.00","223,345,085.00","-","CNE1000003G1","B1G1QD8","0.60","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"2317","HON HAI PRECISION INDUSTRY LTD","Information Technology","Equity","133,024,454.27","0.51","133,024,454.27","45,677,873.00","S64385644","TW0002317005","6438564","2.91","Taiwan","Taiwan Stock Exchange","USD","28.50","-","TWD"
"PDD","PINDUODUO ADR REPRESENTING INC","Consumer Discretionary","Equity","131,429,643.52","0.50","131,429,643.52","992,896.00","722304102","US7223041028","BYVW0F7","132.37","China","NASDAQ","USD","1.00","-","USD"
"NTES","NETEASE ADR INC","Communication","Equity","131,266,305.90","0.50","131,266,305.90","1,511,414.00","64110W102","US64110W1027","2606440","86.85","China","NASDAQ","USD","1.00","-","USD"
"SBER","SBERBANK ROSSII","Financials","Equity","127,113,170.50","0.48","127,113,170.50","39,342,681.00","-","RU0009029540","4767981","3.23","Russian Federation","Standard-Classica-Forts","USD","76.32","-","RUB"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","122,921,235.06","0.47","122,921,235.06","18,816,628.00","-","INE090A01021","BSZ2BY7","6.53","India","National Stock Exchange Of India","USD","74.46","-","INR"
"1810","XIAOMI CORP","Information Technology","Equity","120,498,911.91","0.46","120,498,911.91","38,760,400.00","-","KYG9830T1067","BG0ZMJ9","3.11","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","118,116,497.30","0.45","118,116,497.30","3,298,760.00","-","INE467B01029","B01NPJ1","35.81","India","National Stock Exchange Of India","USD","74.46","-","INR"
"2963","WUXI BIOLOGICS (CAYMAN) INC (TEMP)","Health Care","Equity","114,897,002.77","0.44","114,897,002.77","11,023,500.00","-","KYG970081256","BN92PQ8","10.42","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"035420","NAVER CORP","Communication","Equity","112,547,101.61","0.43","112,547,101.61","452,910.00","S65603938","KR7035420009","6560393","248.50","Korea (South)","Korea Exchange (Stock Market)","USD","1,106.65","-","KRW"
"051910","LG CHEM LTD","Materials","Equity","104,644,057.29","0.40","104,644,057.29","168,811.00","S63469134","KR7051910008","6346913","619.89","Korea (South)","Korea Exchange (Stock Market)","USD","1,106.65","-","KRW"
"TAL","TAL EDUCATION GROUP ADR REPTG","Consumer Discretionary","Equity","103,712,433.30","0.39","103,712,433.30","1,401,330.00","874080104","US8740801043","B4MGD82","74.01","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"3988","BANK OF CHINA LTD H","Financials","Equity","101,829,995.55","0.39","101,829,995.55","286,015,000.00","-","CNE1000001Z5","B154564","0.36","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"EDU","NEW ORIENTAL EDUCATION & TECHNOLOG","Consumer Discretionary","Equity","100,113,695.19","0.38","100,113,695.19","558,639.00","647581107","US6475811070","B1CN1G6","179.21","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
