iShares MSCI Emerging Markets ETF
Fund Holdings as of,"Dec 08, 2020"
Inception Date,"Apr 07, 2003"
Shares Outstanding,"540,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","1,806,628,964.69","6.58","1,806,628,964.69","6,789,541.00","01609W102","US01609W1027","BP41ZD1","266.09","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","1,638,859,652.85","5.97","1,638,859,652.85","88,292,000.00","S68891068","TW0002330008","6889106","18.56","Taiwan","Taiwan Stock Exchange","USD","28.23","-","TWD"
"700","TENCENT HOLDINGS LTD","Communication","Equity","1,550,334,191.29","5.65","1,550,334,191.29","20,611,600.00","-","KYG875721634","BMMV2K8","75.22","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","1,128,328,908.79","4.11","1,128,328,908.79","17,080,728.00","S67717207","KR7005930003","6771720","66.06","Korea (South)","Korea Exchange (Stock Market)","USD","1,085.40","-","KRW"
"3690","MEITUAN","Consumer Discretionary","Equity","479,390,846.28","1.75","479,390,846.28","12,919,800.00","-","KYG596691041","BGJW376","37.11","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"NPN","NASPERS LIMITED N LTD","Consumer Discretionary","Equity","325,132,222.35","1.18","325,132,222.35","1,555,633.00","S66226911","ZAE000015889","6622691","209.00","South Africa","Johannesburg Stock Exchange","USD","15.00","-","ZAR"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","277,939,632.52","1.01","277,939,632.52","10,254,317.00","S60996261","INE002A01018","6099626","27.10","India","National Stock Exchange Of India","USD","73.56","-","INR"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","259,175,887.60","0.94","259,175,887.60","343,394,760.00","-","CNE1000002H1","B0LMTQ3","0.75","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","255,371,422.21","0.93","255,371,422.21","21,226,500.00","-","CNE1000003X6","B01FLR7","12.03","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"JD","JD.COM ADR REPRESENTING INC","Consumer Discretionary","Equity","254,137,590.61","0.93","254,137,590.61","3,098,861.00","47215P106","US47215P1066","BMM27D9","82.01","China","NASDAQ","USD","1.00","-","USD"
"VALE3","CIA VALE DO RIO DOCE SH","Materials","Equity","216,541,087.79","0.79","216,541,087.79","13,231,209.00","S21962865","BRVALEACNOR0","2196286","16.37","Brazil","XBSP","USD","5.07","-","BRL"
"PDD","PINDUODUO ADR REPRESENTING INC","Consumer Discretionary","Equity","214,876,993.65","0.78","214,876,993.65","1,364,385.00","722304102","US7223041028","BYVW0F7","157.49","China","NASDAQ","USD","1.00","-","USD"
"000660","SK HYNIX INC","Information Technology","Equity","205,956,799.34","0.75","205,956,799.34","1,943,874.00","S64502677","KR7000660001","6450267","105.95","Korea (South)","Korea Exchange (Stock Market)","USD","1,085.40","-","KRW"
"INFY","INFOSYS LTD","Information Technology","Equity","192,103,603.54","0.70","192,103,603.54","12,251,841.00","S62051222","INE009A01021","6205122","15.68","India","National Stock Exchange Of India","USD","73.56","-","INR"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","191,931,927.39","0.70","191,931,927.39","6,112,364.00","S61719001","INE001A01036","6171900","31.40","India","National Stock Exchange Of India","USD","73.56","-","INR"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Information Technology","Equity","179,656,491.06","0.65","179,656,491.06","2,963,513.00","S67738120","KR7005931001","6773812","60.62","Korea (South)","Korea Exchange (Stock Market)","USD","1,085.40","-","KRW"
"NIO","NIO AMERICAN DEPOSITARY SHARES REP","Consumer Discretionary","Equity","178,537,812.00","0.65","178,537,812.00","3,834,575.00","62914V106","US62914V1061","BFZX9H8","46.56","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"1810","XIAOMI CORP","Information Technology","Equity","150,530,147.92","0.55","150,530,147.92","44,279,000.00","-","KYG9830T1067","BG0ZMJ9","3.40","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"SBER","SBERBANK ROSSII","Financials","Equity","144,373,464.91","0.53","144,373,464.91","38,412,591.00","-","RU0009029540","4767981","3.76","Russian Federation","Standard-Classica-Forts","USD","73.30","-","RUB"
"BIDU","BAIDU ADR REPTG INC CLASS A","Communication","Equity","141,100,643.25","0.51","141,100,643.25","973,175.00","056752108","US0567521085","B0FXT17","144.99","China","NASDAQ","USD","1.00","-","USD"
"2454","MEDIATEK INC","Information Technology","Equity","139,983,589.80","0.51","139,983,589.80","5,413,338.00","S63724801","TW0002454006","6372480","25.86","Taiwan","Taiwan Stock Exchange","USD","28.23","-","TWD"
"2317","HON HAI PRECISION INDUSTRY LTD","Information Technology","Equity","136,103,877.96","0.50","136,103,877.96","43,860,873.00","S64385644","TW0002317005","6438564","3.10","Taiwan","Taiwan Stock Exchange","USD","28.23","-","TWD"
"NTES","NETEASE ADR INC","Communication","Equity","135,893,999.17","0.50","135,893,999.17","1,483,397.00","64110W102","US64110W1027","2606440","91.61","China","NASDAQ","USD","1.00","-","USD"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","132,146,705.30","0.48","132,146,705.30","214,730,085.00","-","CNE1000003G1","B1G1QD8","0.62","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","128,410,625.51","0.47","128,410,625.51","3,376,672.00","-","INE467B01029","B01NPJ1","38.03","India","National Stock Exchange Of India","USD","73.56","-","INR"
"941","CHINA MOBILE LTD","Communication","Equity","128,323,341.01","0.47","128,323,341.01","21,884,000.00","S60735560","HK0941009539","6073556","5.86","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","127,235,902.79","0.46","127,235,902.79","18,409,038.00","-","INE090A01021","BSZ2BY7","6.91","India","National Stock Exchange Of India","USD","73.56","-","INR"
"051910","LG CHEM LTD","Materials","Equity","122,427,077.58","0.45","122,427,077.58","163,850.00","S63469134","KR7051910008","6346913","747.19","Korea (South)","Korea Exchange (Stock Market)","USD","1,085.40","-","KRW"
"2269","WUXI BIOLOGICS CAYMAN -NEW INC N1","Health Care","Equity","116,052,561.30","0.42","116,052,561.30","11,023,500.00","-","KYG970081173","BL6B9P1","10.53","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"035420","NAVER CORP","Communication","Equity","115,787,617.47","0.42","115,787,617.47","440,968.00","S65603938","KR7035420009","6560393","262.58","Korea (South)","Korea Exchange (Stock Market)","USD","1,085.40","-","KRW"
"068270","CELLTRION INC","Health Care","Equity","108,869,218.72","0.40","108,869,218.72","337,619.00","-","KR7068270008","B0C5YV1","322.46","Korea (South)","Korea Exchange (Stock Market)","USD","1,085.40","-","KRW"
"GAZP","GAZPROM","Energy","Equity","105,460,088.01","0.38","105,460,088.01","40,668,629.00","-","RU0007661625","B59L4L7","2.59","Russian Federation","Standard-Classica-Forts","USD","73.30","-","RUB"
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","Financials","Equity","101,958,864.14","0.37","101,958,864.14","17,011,279.00","-","BRITUBACNPR1","B037HR3","5.99","Brazil","XBSP","USD","5.07","-","BRL"
"006400","SAMSUNG SDI LTD","Information Technology","Equity","100,172,786.07","0.37","100,172,786.07","196,614.00","S67716456","KR7006400006","6771645","509.49","Korea (South)","Korea Exchange (Stock Market)","USD","1,085.40","-","KRW"
