iShares MSCI Emerging Markets ETF
Fund Holdings as of,"Dec 10, 2020"
Inception Date,"Apr 07, 2003"
Shares Outstanding,"540,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","1,798,345,724.67","6.55","1,798,345,724.67","6,789,541.00","01609W102","US01609W1027","BP41ZD1","264.87","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","1,602,179,833.42","5.83","1,602,179,833.42","88,292,000.00","S68891068","TW0002330008","6889106","18.15","Taiwan","Taiwan Stock Exchange","USD","28.22","TWD","Nov 10, 1994"
"700","TENCENT HOLDINGS LTD","Communication","Equity","1,537,008,269.79","5.60","1,537,008,269.79","20,611,600.00","-","KYG875721634","BMMV2K8","74.57","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","1,144,839,857.67","4.17","1,144,839,857.67","17,080,728.00","S67717207","KR7005930003","6771720","67.03","Korea (South)","Korea Exchange (Stock Market)","USD","1,087.65","KRW","-"
"3690","MEITUAN","Consumer Discretionary","Equity","478,381,468.44","1.74","478,381,468.44","12,919,800.00","-","KYG596691041","BGJW376","37.03","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"NPN","NASPERS LIMITED N LTD","Consumer Discretionary","Equity","322,133,783.96","1.17","322,133,783.96","1,555,633.00","S66226911","ZAE000015889","6622691","207.08","South Africa","Johannesburg Stock Exchange","USD","15.03","ZAR","-"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","279,402,164.97","1.02","279,402,164.97","10,254,317.00","S60996261","INE002A01018","6099626","27.25","India","National Stock Exchange Of India","USD","73.66","INR","-"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","258,926,549.13","0.94","258,926,549.13","21,226,500.00","-","CNE1000003X6","B01FLR7","12.20","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","257,398,763.48","0.94","257,398,763.48","343,394,760.00","-","CNE1000002H1","B0LMTQ3","0.75","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"JD","JD.COM ADR REPRESENTING INC","Consumer Discretionary","Equity","253,207,932.31","0.92","253,207,932.31","3,098,861.00","47215P106","US47215P1066","BMM27D9","81.71","China","NASDAQ","USD","1.00","USD","-"
