iShares MSCI Mexico ETF
Fund Holdings as of,"Nov 24, 2020"
Inception Date,"Mar 12, 1996"
Shares Outstanding,"28,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"AMXL","AMERICA MOVIL L","Communication","Equity","196,408,839.14","16.07","196,408,839.14","270,801,218.00","S26674705","MXP001691213","2667470","0.73","Mexico","Bolsa Mexicana De Valores","USD","20.06","-","MXN"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Consumer Staples","Equity","118,057,902.54","9.66","118,057,902.54","15,340,110.00","S22420590","MXP320321310","2242059","7.70","Mexico","Bolsa Mexicana De Valores","USD","20.06","-","MXN"
"WALMEX*","WALMART DE MEXICO V","Consumer Staples","Equity","112,610,772.02","9.21","112,610,772.02","41,611,433.00","-","MX01WA000038","BW1YVH8","2.71","Mexico","Bolsa Mexicana De Valores","USD","20.06","-","MXN"
"GFNORTEO","GPO FINANCE BANORTE","Financials","Equity","106,377,115.38","8.70","106,377,115.38","18,539,061.00","S24210411","MXP370711014","2421041","5.74","Mexico","Bolsa Mexicana De Valores","USD","20.06","-","MXN"
"CEMEXCPO","CEMEX CPO","Materials","Equity","63,052,621.15","5.16","63,052,621.15","129,203,129.00","S24064578","MXP225611567","2406457","0.49","Mexico","Bolsa Mexicana De Valores","USD","20.06","-","MXN"
"GMEXICOB","GRUPO MEXICO B","Materials","Equity","57,524,681.31","4.71","57,524,681.31","16,549,586.00","S26436741","MXP370841019","2643674","3.48","Mexico","Bolsa Mexicana De Valores","USD","20.06","-","MXN"
"GAPB","GRUPO AEROPORTUARIO DEL PACIFICO","Industrials","Equity","35,471,680.59","2.90","35,471,680.59","3,231,449.00","-","MX01GA000004","B0ZV104","10.98","Mexico","Bolsa Mexicana De Valores","USD","20.06","-","MXN"
"TLEVISACPO","GRUPO TELEVISA","Communication","Equity","34,581,694.67","2.83","34,581,694.67","20,573,647.00","S23801087","MXP4987V1378","2380108","1.68","Mexico","Bolsa Mexicana De Valores","USD","20.06","-","MXN"
"BIMBOA","GRUPO BIMBO A","Consumer Staples","Equity","30,484,074.63","2.49","30,484,074.63","14,285,004.00","S23924715","MXP495211262","2392471","2.13","Mexico","Bolsa Mexicana De Valores","USD","20.06","-","MXN"
"ASURB","GRUPO AEROPORTUARIO DEL SURESTE B","Industrials","Equity","28,176,409.63","2.31","28,176,409.63","1,799,290.00","S26393496","MXP001661018","2639349","15.66","Mexico","Bolsa Mexicana De Valores","USD","20.06","-","MXN"
"FUNO11","FIBRA UNO ADMINISTRACION REIT SA","Real Estate","Equity","26,471,816.66","2.17","26,471,816.66","26,970,600.00","-","MXCFFU000001","B671GT8","0.98","Mexico","Bolsa Mexicana De Valores","USD","20.06","-","MXN"
