iShares MSCI Mexico ETF
Fund Holdings as of,"Dec 17, 2020"
Inception Date,"Mar 12, 1996"
Shares Outstanding,"29,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AMXL","AMERICA MOVIL L","Communication","Equity","194,016,744.84","15.17","194,016,744.84","270,852,018.00","S26674705","MXP001691213","2667470","0.72","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Consumer Staples","Equity","118,497,370.66","9.27","118,497,370.66","15,209,910.00","S22420590","MXP320321310","2242059","7.79","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"WALMEX*","WALMART DE MEXICO V","Consumer Staples","Equity","116,375,512.95","9.10","116,375,512.95","40,998,033.00","-","MX01WA000038","BW1YVH8","2.84","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"GFNORTEO","GPO FINANCE BANORTE","Financials","Equity","108,566,289.47","8.49","108,566,289.47","18,737,461.00","S24210411","MXP370711014","2421041","5.79","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"GMEXICOB","GRUPO MEXICO B","Materials","Equity","67,621,392.38","5.29","67,621,392.38","16,265,786.00","S26436741","MXP370841019","2643674","4.16","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"CEMEXCPO","CEMEX CPO","Materials","Equity","60,613,151.80","4.74","60,613,151.80","112,165,429.00","S24064578","MXP225611567","2406457","0.54","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"GAPB","GRUPO AEROPORTUARIO DEL PACIFICO","Industrials","Equity","37,779,987.43","2.95","37,779,987.43","3,289,849.00","-","MX01GA000004","B0ZV104","11.48","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"TLEVISACPO","GRUPO TELEVISA","Communication","Equity","34,811,189.67","2.72","34,811,189.67","20,737,747.00","S23801087","MXP4987V1378","2380108","1.68","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"FUNO11","FIBRA UNO ADMINISTRACION REIT SA","Real Estate","Equity","31,607,954.63","2.47","31,607,954.63","27,501,000.00","-","MXCFFU000001","B671GT8","1.15","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"BIMBOA","GRUPO BIMBO A","Consumer Staples","Equity","31,480,533.71","2.46","31,480,533.71","14,392,604.00","S23924715","MXP495211262","2392471","2.19","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"ASURB","GRUPO AEROPORTUARIO DEL SURESTE B","Industrials","Equity","30,265,215.94","2.37","30,265,215.94","1,809,755.00","S26393496","MXP001661018","2639349","16.72","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"GRUMAB","GRUMA","Consumer Staples","Equity","23,511,886.39","1.84","23,511,886.39","1,981,465.00","S23925456","MXP4948K1056","2392545","11.87","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"PE&OLES*","INDUST PENOLES","Materials","Equity","23,312,619.89","1.82","23,312,619.89","1,300,408.00","S24482002","MXP554091415","2448200","17.93","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"KIMBERA","KIMBERLY-CLARK DE MEXICO CLASS A","Consumer Staples","Equity","21,735,343.80","1.70","21,735,343.80","13,516,454.00","S24919144","MXP606941179","2491914","1.61","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"ORBIA*","ORBIA ADVANCE CORP SA DE CV","Materials","Equity","21,717,074.99","1.70","21,717,074.99","9,447,642.00","-","MX01OR010004","BH3T8K8","2.30","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"GFINBURO","GRUPO FINANCIERO INBURSA SRIES O","Financials","Equity","20,798,051.96","1.63","20,798,051.96","20,587,892.00","S28223980","MXP370641013","2822398","1.01","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"OMAB","GRUPO AEROPORTUARIO DEL CENTRO NOR","Industrials","Equity","20,242,521.42","1.58","20,242,521.42","3,096,792.00","-","MX01OM000018","B1KFX13","6.54","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"IENOVA*","INFRAESTRUCTURA ENERGETICA NOVA","Utilities","Equity","19,490,876.57","1.52","19,490,876.57","4,828,300.00","-","MX01IE060002","B84XBP2","4.04","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"AC*","ARCA CONTINENTAL","Consumer Staples","Equity","19,450,443.22","1.52","19,450,443.22","3,950,529.00","S28238855","MX01AC100006","2823885","4.92","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"PINFRA*","PROMOTORA Y OPERADORA DE INFRAESTR","Industrials","Equity","18,291,633.98","1.43","18,291,633.98","2,068,405.00","S23933880","MX01PI000005","2393388","8.84","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"SITESB.1","TELESITES B-1","Communication","Equity","14,584,552.45","1.14","14,584,552.45","13,109,246.00","-","MX01SI080038","BD0G5P8","1.11","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"KOFUBL","COCA-COLA FEMSA CLASS UBL UNITS","Consumer Staples","Equity","14,364,364.91","1.12","14,364,364.91","3,096,643.00","-","MX01KO000002","BHHP0S4","4.64","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"ALFAA","ALFA A","Industrials","Equity","13,362,779.85","1.05","13,362,779.85","18,589,351.00","S20434239","MXP000511016","2043423","0.72","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"GCARSOA1","GRUPO CARSO SERIES A1","Industrials","Equity","12,795,210.50","1.00","12,795,210.50","4,454,633.00","S23934524","MXP461181085","2393452","2.87","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"CUERVO*","BECLE SA DE CV","Consumer Staples","Equity","12,696,472.09","0.99","12,696,472.09","5,183,500.00","-","MX01CU010003","BYM4063","2.45","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"VESTA*","CORPORACION INMOBILIARIA VESTA","Real Estate","Equity","11,526,162.39","0.90","11,526,162.39","5,843,349.00","-","MX01VE0M0003","B8F6ZF8","1.97","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"LACOMERUBC","LA COMER UBC","Consumer Staples","Equity","11,504,067.82","0.90","11,504,067.82","5,286,355.00","-","MX01LA050010","BZ8W8S6","2.18","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"TERRA13","TERRAFINA DE CV REIT SA","Real Estate","Equity","11,427,394.78","0.89","11,427,394.78","7,700,100.00","-","MXCFTE0B0005","B87Y2V5","1.48","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","11,404,000.00","0.89","11,404,000.00","11,404,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"FIBRAPL14","PROLOGIS PROPERTY MEXICO REIT SA","Real Estate","Equity","11,093,157.35","0.87","11,093,157.35","4,991,166.00","-","MXCFFI170008","BN56JP1","2.22","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"Q*","QUALITAS CONTROLADORA","Financials","Equity","11,082,385.18","0.87","11,082,385.18","2,104,200.00","-","MX01Q0000008","BYMXF65","5.27","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"RA","REGIONAL SAB DE CV","Financials","Equity","10,998,973.06","0.86","10,998,973.06","2,213,800.00","-","MX01R0000006","BG1Z6X0","4.97","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"FIBRAMQ12","MACQUARIE MEXICO REAL ESTATE MANAG","Real Estate","Equity","10,685,828.20","0.84","10,685,828.20","7,889,100.00","-","MXCFFI0U0002","B80RZK1","1.35","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"MEGACPO","MEGACABLE HOLDINGS CPO","Communication","Equity","10,683,200.00","0.84","10,683,200.00","2,909,500.00","-","MX01ME090003","B292SM8","3.67","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"BOLSAA","BOLSA MEXICANA DE VALORES","Financials","Equity","10,402,378.62","0.81","10,402,378.62","4,382,187.00","-","MX01BM1B0000","B39VVF6","2.37","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"BBAJIOO","BANCO DEL BAJIO INSTITUCION DE BAN","Financials","Equity","10,109,900.42","0.79","10,109,900.42","7,386,930.00","-","MX41BB000000","BYSX0F3","1.37","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"GCC*","GRUPO CEMENTOS","Materials","Equity","10,101,303.49","0.79","10,101,303.49","1,708,600.00","S29466638","MX01GC2M0006","2946663","5.91","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"VOLARA","CONTROLADORA VUELA COMPANIA DE AVI","Industrials","Equity","8,360,863.36","0.65","8,360,863.36","7,078,900.00","-","MX01VO000009","BDZDPH6","1.18","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"LABB","GENOMMA LAB INTERNATIONAL","Health Care","Equity","8,099,491.64","0.63","8,099,491.64","8,610,593.00","-","MX01LA010006","B3B1C73","0.94","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"ALSEA*","ALSEA DE CV","Consumer Discretionary","Equity","7,500,007.35","0.59","7,500,007.35","5,557,766.00","S25630179","MXP001391012","2563017","1.35","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"GENTERA*","GENTERA SAB DE CV","Financials","Equity","6,700,595.34","0.52","6,700,595.34","13,292,306.00","-","MX01GE0E0004","BHWQZW1","0.50","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"CHDRAUIB","GRUPO COMERCIAL CHEDRAUI","Consumer Staples","Equity","5,991,453.11","0.47","5,991,453.11","3,987,100.00","-","MX01CH170002","B457NQ0","1.50","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"HERDEZ*","GRUPO HERDEZ","Consumer Staples","Equity","5,272,142.26","0.41","5,272,142.26","2,655,144.00","S29629599","MX01HE010008","2962959","1.99","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
"AXTELCPO","AXTEL CPO","Communication","Equity","5,252,732.50","0.41","5,252,732.50","14,215,700.00","-","MX01AX040009","B0T0DH8","0.37","Mexico","Bolsa Mexicana De Valores","USD","19.84","MXN","-"
