iShares MSCI India ETF
Fund Holdings as of,"Nov 24, 2020"
Inception Date,"Feb 02, 2012"
Shares Outstanding,"91,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","441,428,552.49","13.01","441,428,552.49","16,633,218.00","S60996261","INE002A01018","6099626","26.54","India","National Stock Exchange Of India","USD","74.01","-","INR"
"INFY","INFOSYS LTD","Information Technology","Equity","306,047,488.32","9.02","306,047,488.32","19,867,047.00","S62051222","INE009A01021","6205122","15.40","India","National Stock Exchange Of India","USD","74.01","-","INR"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","287,503,099.97","8.47","287,503,099.97","9,594,186.00","S61719001","INE001A01036","6171900","29.97","India","National Stock Exchange Of India","USD","74.01","-","INR"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","193,139,435.94","5.69","193,139,435.94","5,251,015.00","-","INE467B01029","B01NPJ1","36.78","India","National Stock Exchange Of India","USD","74.01","-","INR"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","192,202,932.06","5.66","192,202,932.06","29,745,333.00","-","INE090A01021","BSZ2BY7","6.46","India","National Stock Exchange Of India","USD","74.01","-","INR"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Consumer Staples","Equity","139,775,058.13","4.12","139,775,058.13","4,794,877.00","S62616743","INE030A01027","6261674","29.15","India","National Stock Exchange Of India","USD","74.01","-","INR"
"AXISBANK","AXIS BANK LTD","Financials","Equity","110,549,419.93","3.26","110,549,419.93","13,203,176.00","-","INE238A01034","BPFJHC7","8.37","India","National Stock Exchange Of India","USD","74.01","-","INR"
"HCLTECH","HCL TECHNOLOGIES LTD","Information Technology","Equity","71,880,360.68","2.12","71,880,360.68","6,329,085.00","S62948963","INE860A01027","6294896","11.36","India","National Stock Exchange Of India","USD","74.01","-","INR"
"BAJFINANCE","BAJAJ FINANCE LTD","Financials","Equity","68,217,186.48","2.01","68,217,186.48","1,049,442.00","-","INE296A01024","BD2N0P2","65.00","India","National Stock Exchange Of India","USD","74.01","-","INR"
"MARUTI","MARUTI SUZUKI INDIA LTD","Consumer Discretionary","Equity","68,148,209.82","2.01","68,148,209.82","704,542.00","S66337122","INE585B01010","6633712","96.73","India","National Stock Exchange Of India","USD","74.01","-","INR"
"ASIANPAINT","ASIAN PAINTS LTD","Materials","Equity","50,057,040.41","1.48","50,057,040.41","1,677,854.00","-","INE021A01026","BCRWL65","29.83","India","National Stock Exchange Of India","USD","74.01","-","INR"
"BHARTIARTL","BHARTI AIRTEL LTD","Communication","Equity","46,865,573.24","1.38","46,865,573.24","7,313,327.00","S64423270","INE397D01024","6442327","6.41","India","National Stock Exchange Of India","USD","74.01","-","INR"
