iShares MSCI India ETF
Fund Holdings as of,"Dec 08, 2020"
Inception Date,"Feb 02, 2012"
Shares Outstanding,"98,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","420,066,204.92","11.11","420,066,204.92","15,497,941.00","S60996261","INE002A01018","6099626","27.10","India","National Stock Exchange Of India","USD","73.56","-","INR"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","290,537,425.94","7.68","290,537,425.94","9,252,606.00","S61719001","INE001A01036","6171900","31.40","India","National Stock Exchange Of India","USD","73.56","-","INR"
"INFY","INFOSYS LTD","Information Technology","Equity","290,258,184.66","7.68","290,258,184.66","18,511,871.00","S62051222","INE009A01021","6205122","15.68","India","National Stock Exchange Of India","USD","73.56","-","INR"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","193,808,139.66","5.12","193,808,139.66","5,096,358.00","-","INE467B01029","B01NPJ1","38.03","India","National Stock Exchange Of India","USD","73.56","-","INR"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","191,556,604.91","5.07","191,556,604.91","27,715,234.00","-","INE090A01021","BSZ2BY7","6.91","India","National Stock Exchange Of India","USD","73.56","-","INR"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Consumer Staples","Equity","137,260,892.23","3.63","137,260,892.23","4,467,508.00","S62616743","INE030A01027","6261674","30.72","India","National Stock Exchange Of India","USD","73.56","-","INR"
"AXISBANK","AXIS BANK LTD","Financials","Equity","103,625,722.03","2.74","103,625,722.03","12,281,397.00","-","INE238A01034","BPFJHC7","8.44","India","National Stock Exchange Of India","USD","73.56","-","INR"
"BAJFINANCE","BAJAJ FINANCE LTD","Financials","Equity","95,931,666.91","2.54","95,931,666.91","1,472,511.00","-","INE296A01024","BD2N0P2","65.15","India","National Stock Exchange Of India","USD","73.56","-","INR"
"MARUTI","MARUTI SUZUKI INDIA LTD","Consumer Discretionary","Equity","77,887,770.58","2.06","77,887,770.58","738,046.00","S66337122","INE585B01010","6633712","105.53","India","National Stock Exchange Of India","USD","73.56","-","INR"
"KOTAKBANK","KOTAK MAHINDRA BANK LTD","Financials","Equity","75,395,749.31","1.99","75,395,749.31","3,024,279.00","S61356614","INE237A01028","6135661","24.93","India","National Stock Exchange Of India","USD","73.56","-","INR"
"HCLTECH","HCL TECHNOLOGIES LTD","Information Technology","Equity","69,249,239.82","1.83","69,249,239.82","5,896,968.00","S62948963","INE860A01027","6294896","11.74","India","National Stock Exchange Of India","USD","73.56","-","INR"
"ASIANPAINT","ASIAN PAINTS LTD","Materials","Equity","69,110,980.74","1.83","69,110,980.74","2,084,395.00","-","INE021A01026","BCRWL65","33.16","India","National Stock Exchange Of India","USD","73.56","-","INR"
