iShares MSCI India ETF
Fund Holdings as of,"Dec 10, 2020"
Inception Date,"Feb 02, 2012"
Shares Outstanding,"98,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","422,276,614.62","11.14","422,276,614.62","15,497,941.00","S60996261","INE002A01018","6099626","27.25","India","National Stock Exchange Of India","USD","73.66","INR","-"
"INFY","INFOSYS LTD","Information Technology","Equity","293,478,199.95","7.74","293,478,199.95","18,511,871.00","S62051222","INE009A01021","6205122","15.85","India","National Stock Exchange Of India","USD","73.66","INR","-"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","287,544,119.26","7.59","287,544,119.26","9,252,606.00","S61719001","INE001A01036","6171900","31.08","India","National Stock Exchange Of India","USD","73.66","INR","-"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","192,642,280.51","5.08","192,642,280.51","5,096,358.00","-","INE467B01029","B01NPJ1","37.80","India","National Stock Exchange Of India","USD","73.66","INR","-"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","190,747,709.90","5.03","190,747,709.90","27,715,234.00","-","INE090A01021","BSZ2BY7","6.88","India","National Stock Exchange Of India","USD","73.66","INR","-"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Consumer Staples","Equity","142,558,137.07","3.76","142,558,137.07","4,467,508.00","S62616743","INE030A01027","6261674","31.91","India","National Stock Exchange Of India","USD","73.66","INR","-"
"AXISBANK","AXIS BANK LTD","Financials","Equity","104,550,375.74","2.76","104,550,375.74","12,281,397.00","-","INE238A01034","BPFJHC7","8.51","India","National Stock Exchange Of India","USD","73.66","INR","-"
"BAJFINANCE","BAJAJ FINANCE LTD","Financials","Equity","95,852,777.07","2.53","95,852,777.07","1,472,511.00","-","INE296A01024","BD2N0P2","65.09","India","National Stock Exchange Of India","USD","73.66","INR","-"
"KOTAKBANK","KOTAK MAHINDRA BANK LTD","Financials","Equity","78,145,640.82","2.06","78,145,640.82","3,024,279.00","S61356614","INE237A01028","6135661","25.84","India","National Stock Exchange Of India","USD","73.66","INR","-"
"MARUTI","MARUTI SUZUKI INDIA LTD","Consumer Discretionary","Equity","77,513,178.76","2.04","77,513,178.76","738,046.00","S66337122","INE585B01010","6633712","105.02","India","National Stock Exchange Of India","USD","73.66","INR","-"
"ASIANPAINT","ASIAN PAINTS LTD","Materials","Equity","71,482,152.35","1.89","71,482,152.35","2,084,395.00","-","INE021A01026","BCRWL65","34.29","India","National Stock Exchange Of India","USD","73.66","INR","-"
"HCLTECH","HCL TECHNOLOGIES LTD","Information Technology","Equity","69,390,221.99","1.83","69,390,221.99","5,896,968.00","S62948963","INE860A01027","6294896","11.77","India","National Stock Exchange Of India","USD","73.66","INR","-"
"LT","LARSEN AND TOUBRO LTD","Industrials","Equity","60,400,040.08","1.59","60,400,040.08","3,737,549.00","-","INE018A01030","B0166K8","16.16","India","National Stock Exchange Of India","USD","73.66","INR","-"
"BHARTIARTL","BHARTI AIRTEL LTD","Communication","Equity","46,749,387.80","1.23","46,749,387.80","6,816,790.00","S64423270","INE397D01024","6442327","6.86","India","National Stock Exchange Of India","USD","73.66","INR","-"
"ITC","ITC LTD","Consumer Staples","Equity","46,327,579.62","1.22","46,327,579.62","16,043,402.00","-","INE154A01025","B0JGGP5","2.89","India","National Stock Exchange Of India","USD","73.66","INR","-"
"NESTLEIND","NESTLE INDIA LTD","Consumer Staples","Equity","45,677,720.37","1.20","45,677,720.37","183,328.00","S61286050","INE239A01016","6128605","249.16","India","National Stock Exchange Of India","USD","73.66","INR","-"
"M&M","MAHINDRA AND MAHINDRA LTD","Consumer Discretionary","Equity","43,873,945.35","1.16","43,873,945.35","4,390,002.00","S61001863","INE101A01026","6100186","9.99","India","National Stock Exchange Of India","USD","73.66","INR","-"
"DRREDDY","DR REDDYS LABORATORIES LTD","Health Care","Equity","43,372,263.02","1.14","43,372,263.02","632,235.00","S64109598","INE089A01023","6410959","68.60","India","National Stock Exchange Of India","USD","73.66","INR","-"
"TECHM","TECH MAHINDRA LTD","Information Technology","Equity","42,957,039.13","1.13","42,957,039.13","3,412,231.00","-","INE669C01036","BWFGD63","12.59","India","National Stock Exchange Of India","USD","73.66","INR","-"
"ULTRACEMCO","ULTRATECH CEMENT LTD","Materials","Equity","42,270,795.04","1.12","42,270,795.04","627,201.00","-","INE481G01011","B01GZF6","67.40","India","National Stock Exchange Of India","USD","73.66","INR","-"
"TITAN","TITAN COMPANY LTD","Consumer Discretionary","Equity","37,301,467.35","0.98","37,301,467.35","1,929,209.00","S61393401","INE280A01028","6139340","19.34","India","National Stock Exchange Of India","USD","73.66","INR","-"
"DIVISLAB","DIVIS LABORATORIES LTD","Health Care","Equity","36,537,249.85","0.96","36,537,249.85","721,090.00","S66025180","INE361B01024","6602518","50.67","India","National Stock Exchange Of India","USD","73.66","INR","-"
"SBIN","STATE BANK OF INDIA","Financials","Equity","35,429,355.22","0.93","35,429,355.22","9,681,625.00","-","INE062A01020","BSQCB24","3.66","India","National Stock Exchange Of India","USD","73.66","INR","-"
"SUNPHARMA","SUN PHARMACEUTICAL INDUSTRIES LTD","Health Care","Equity","35,005,687.47","0.92","35,005,687.47","4,562,058.00","S65824831","INE044A01036","6582483","7.67","India","National Stock Exchange Of India","USD","73.66","INR","-"
"HDFCLIFE","HDFC LIFE INSURANCE COMPANY LTD","Financials","Equity","34,375,385.95","0.91","34,375,385.95","3,839,636.00","-","INE795G01014","BF0TRG6","8.95","India","National Stock Exchange Of India","USD","73.66","INR","-"
"NTPC","NTPC LTD","Utilities","Equity","31,903,667.62","0.84","31,903,667.62","24,189,236.00","-","INE733E01010","B037HF1","1.32","India","National Stock Exchange Of India","USD","73.66","INR","-"
