iShares Core S&P 500 ETF
Fund Holdings as of,"Nov 12, 2020"
Inception Date,"May 15, 2000"
Shares Outstanding,"643,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"AAPL","APPLE INC","Information Technology","Equity","14,870,515,158.59","6.52","14,870,515,158.59","124,742,179.00","037833100","US0378331005","2046251","119.21","United States","NASDAQ","USD","1.00","-","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","12,650,630,767.68","5.54","12,650,630,767.68","58,719,972.00","594918104","US5949181045","2588173","215.44","United States","NASDAQ","USD","1.00","-","USD"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","10,275,223,647.24","4.50","10,275,223,647.24","3,303,633.00","023135106","US0231351067","2000019","3,110.28","United States","NASDAQ","USD","1.00","-","USD"
"FB","FACEBOOK CLASS A INC","Communication","Equity","5,131,807,205.20","2.25","5,131,807,205.20","18,655,690.00","30303M102","US30303M1027","B7TL820","275.08","United States","NASDAQ","USD","1.00","-","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","4,063,304,660.28","1.78","4,063,304,660.28","2,331,454.00","02079K305","US02079K3059","BYVY8G0","1,742.82","United States","NASDAQ","USD","1.00","-","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","3,986,336,751.60","1.75","3,986,336,751.60","2,278,115.00","02079K107","US02079K1079","BYY88Y7","1,749.84","United States","NASDAQ","USD","1.00","-","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","3,456,348,207.36","1.51","3,456,348,207.36","15,380,688.00","084670702","US0846707026","2073390","224.72","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","3,029,614,619.70","1.33","3,029,614,619.70","20,428,959.00","478160104","US4781601046","2475833","148.30","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","2,746,028,823.75","1.20","2,746,028,823.75","19,317,825.00","742718109","US7427181091","2704407","142.15","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"V","VISA INC CLASS A","Information Technology","Equity","2,724,524,796.24","1.19","2,724,524,796.24","13,082,324.00","92826C839","US92826C8394","B2PZN04","208.26","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","2,680,905,738.00","1.17","2,680,905,738.00","23,647,400.00","46625H100","US46625H1005","2190385","113.37","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
