iShares Core S&P 500 ETF
Fund Holdings as of,"Dec 10, 2020"
Inception Date,"May 15, 2000"
Shares Outstanding,"647,250,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","15,484,240,485.48","6.49","15,484,240,485.48","125,642,977.00","037833100","US0378331005","2046251","123.24","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","12,450,986,248.68","5.22","12,450,986,248.68","59,143,959.00","594918104","US5949181045","2588173","210.52","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","10,320,313,425.66","4.32","10,320,313,425.66","3,327,534.00","023135106","US0231351067","2000019","3,101.49","United States","NASDAQ","USD","1.00","USD","-"
"FB","FACEBOOK CLASS A INC","Communication","Equity","5,207,208,672.64","2.18","5,207,208,672.64","18,790,447.00","30303M102","US30303M1027","B7TL820","277.12","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","4,150,949,515.55","1.74","4,150,949,515.55","2,348,287.00","02079K305","US02079K3059","BYVY8G0","1,767.65","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","4,073,629,610.08","1.71","4,073,629,610.08","2,294,576.00","02079K107","US02079K1079","BYY88Y7","1,775.33","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","3,522,044,815.50","1.48","3,522,044,815.50","15,491,730.00","084670702","US0846707026","2073390","227.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","3,132,765,578.25","1.31","3,132,765,578.25","20,576,457.00","478160104","US4781601046","2475833","152.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","2,864,608,659.96","1.20","2,864,608,659.96","23,818,148.00","46625H100","US46625H1005","2190385","120.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Information Technology","Equity","2,735,637,939.32","1.15","2,735,637,939.32","13,176,812.00","92826C839","US92826C8394","B2PZN04","207.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
