iShares MSCI ACWI ETF
Fund Holdings as of,"Nov 24, 2020"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"164,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"AAPL","APPLE INC","Information Technology","Equity","507,345,386.79","3.52","507,345,386.79","4,405,187.00","037833100","US0378331005","2046251","115.17","United States","NASDAQ","USD","1.00","-","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","391,316,536.94","2.72","391,316,536.94","1,829,779.00","594918104","US5949181045","2588173","213.86","United States","NASDAQ","USD","1.00","-","USD"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","334,486,768.44","2.32","334,486,768.44","107,274.00","023135106","US0231351067","2000019","3,118.06","United States","NASDAQ","USD","1.00","-","USD"
"FB","FACEBOOK CLASS A INC","Communication","Equity","168,821,508.80","1.17","168,821,508.80","609,640.00","30303M102","US30303M1027","B7TL820","276.92","United States","NASDAQ","USD","1.00","-","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","135,972,036.72","0.94","135,972,036.72","76,869.00","02079K107","US02079K1079","BYY88Y7","1,768.88","United States","NASDAQ","USD","1.00","-","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","133,663,050.30","0.93","133,663,050.30","75,777.00","02079K305","US02079K3059","BYVY8G0","1,763.90","United States","NASDAQ","USD","1.00","-","USD"
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","133,598,871.72","0.93","133,598,871.72","477,207.00","01609W102","US01609W1027","BP41ZD1","279.96","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"INDA","ISHARES MSCI INDIA ETF","Financials","Equity","124,291,165.30","0.86","124,291,165.30","3,339,365.00","46429B598","US46429B5984","B6XGR72","37.22","United States","Cboe BZX formerly known as BATS","USD","1.00","-","USD"
"700","TENCENT HOLDINGS LTD","Communication","Equity","110,080,359.16","0.76","110,080,359.16","1,461,100.00","-","KYG875721634","BMMV2K8","75.34","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","107,006,398.91","0.74","107,006,398.91","6,203,000.00","S68891068","TW0002330008","6889106","17.25","Taiwan","Taiwan Stock Exchange","USD","28.52","-","TWD"
