iShares MSCI Emerging Markets ETF
Fund Holdings as of,"Nov 16, 2020"
Inception Date,"Apr 07, 2003"
Shares Outstanding,"540,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","1,782,860,527.89","6.77","1,782,860,527.89","6,902,019.00","01609W102","US01609W1027","BP41ZD1","258.31","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"700","TENCENT HOLDINGS LTD","Communication","Equity","1,622,467,904.82","6.16","1,622,467,904.82","21,071,700.00","-","KYG875721634","BMMV2K8","77.00","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","1,536,834,371.33","5.83","1,536,834,371.33","90,497,000.00","S68891068","TW0002330008","6889106","16.98","Taiwan","Taiwan Stock Exchange","USD","28.50","-","TWD"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","1,048,613,232.18","3.98","1,048,613,232.18","17,544,106.00","S67717207","KR7005930003","6771720","59.77","Korea (South)","Korea Exchange (Stock Market)","USD","1,109.25","-","KRW"
"3690","MEITUAN DIANPING","Consumer Discretionary","Equity","538,547,102.60","2.04","538,547,102.60","13,114,400.00","-","KYG596691041","BGJW376","41.07","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"NPN","NASPERS LIMITED N LTD","Consumer Discretionary","Equity","328,656,939.92","1.25","328,656,939.92","1,602,348.00","S66226911","ZAE000015889","6622691","205.11","South Africa","Johannesburg Stock Exchange","USD","15.32","-","ZAR"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","281,467,309.96","1.07","281,467,309.96","10,489,131.00","S60996261","INE002A01018","6099626","26.83","India","National Stock Exchange Of India","USD","74.62","-","INR"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","268,385,543.51","1.02","268,385,543.51","352,102,760.00","-","CNE1000002H1","B0LMTQ3","0.76","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"JD","JD.COM ADR REPRESENTING INC","Consumer Discretionary","Equity","266,648,774.28","1.01","266,648,774.28","3,127,478.00","47215P106","US47215P1066","BMM27D9","85.26","China","NASDAQ","USD","1.00","-","USD"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","245,313,358.48","0.93","245,313,358.48","21,925,500.00","-","CNE1000003X6","B01FLR7","11.19","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"INFY","INFOSYS LTD","Information Technology","Equity","190,229,161.26","0.72","190,229,161.26","12,523,203.00","S62051222","INE009A01021","6205122","15.19","India","National Stock Exchange Of India","USD","74.62","-","INR"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","187,188,870.82","0.71","187,188,870.82","6,043,295.00","S61719001","INE001A01036","6171900","30.97","India","National Stock Exchange Of India","USD","74.62","-","INR"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","182,449,999.99","0.69","182,449,999.99","182,450,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","-","USD"
"NIO","NIO AMERICAN DEPOSITARY SHARES REP","Consumer Discretionary","Equity","178,966,497.08","0.68","178,966,497.08","3,926,426.00","62914V106","US62914V1061","BFZX9H8","45.58","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"000660","SK HYNIX INC","Information Technology","Equity","177,777,521.75","0.67","177,777,521.75","2,012,242.00","S64502677","KR7000660001","6450267","88.35","Korea (South)","Korea Exchange (Stock Market)","USD","1,109.25","-","KRW"
"VALE3","CIA VALE DO RIO DOCE SH","Materials","Equity","162,486,673.10","0.62","162,486,673.10","13,586,609.00","S21962865","BRVALEACNOR0","2196286","11.96","Brazil","XBSP","USD","5.43","-","BRL"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Information Technology","Equity","160,934,155.51","0.61","160,934,155.51","3,035,990.00","S67738120","KR7005931001","6773812","53.01","Korea (South)","Korea Exchange (Stock Market)","USD","1,109.25","-","KRW"
"BIDU","BAIDU ADR REPTG INC CLASS A","Communication","Equity","148,452,205.44","0.56","148,452,205.44","1,004,141.00","056752108","US0567521085","B0FXT17","147.84","China","NASDAQ","USD","1.00","-","USD"
"PDD","PINDUODUO ADR REPRESENTING INC","Consumer Discretionary","Equity","141,021,018.88","0.54","141,021,018.88","992,896.00","722304102","US7223041028","BYVW0F7","142.03","China","NASDAQ","USD","1.00","-","USD"
"941","CHINA MOBILE LTD","Communication","Equity","139,780,005.80","0.53","139,780,005.80","22,508,500.00","S60735560","HK0941009539","6073556","6.21","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"2454","MEDIATEK INC","Information Technology","Equity","135,445,433.31","0.51","135,445,433.31","5,562,338.00","S63724801","TW0002454006","6372480","24.35","Taiwan","Taiwan Stock Exchange","USD","28.50","-","TWD"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","133,370,444.77","0.51","133,370,444.77","223,345,085.00","-","CNE1000003G1","B1G1QD8","0.60","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"2317","HON HAI PRECISION INDUSTRY LTD","Information Technology","Equity","132,383,372.57","0.50","132,383,372.57","45,677,873.00","S64385644","TW0002317005","6438564","2.90","Taiwan","Taiwan Stock Exchange","USD","28.50","-","TWD"
"NTES","NETEASE ADR INC","Communication","Equity","131,644,159.40","0.50","131,644,159.40","1,511,414.00","64110W102","US64110W1027","2606440","87.10","China","NASDAQ","USD","1.00","-","USD"
"SBER","SBERBANK ROSSII","Financials","Equity","127,717,584.76","0.48","127,717,584.76","39,342,681.00","-","RU0009029540","4767981","3.25","Russian Federation","Standard-Classica-Forts","USD","76.40","-","RUB"
"1810","XIAOMI CORP","Information Technology","Equity","125,976,923.97","0.48","125,976,923.97","38,760,400.00","-","KYG9830T1067","BG0ZMJ9","3.25","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","122,783,746.08","0.47","122,783,746.08","18,816,628.00","-","INE090A01021","BSZ2BY7","6.53","India","National Stock Exchange Of India","USD","74.62","-","INR"
"2963","WUXI BIOLOGICS (CAYMAN) INC (TEMP)","Health Care","Equity","119,426,581.54","0.45","119,426,581.54","11,023,500.00","-","KYG970081256","BN92PQ8","10.83","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","118,053,322.16","0.45","118,053,322.16","3,298,760.00","-","INE467B01029","B01NPJ1","35.79","India","National Stock Exchange Of India","USD","74.62","-","INR"
"035420","NAVER CORP","Communication","Equity","113,508,208.25","0.43","113,508,208.25","452,910.00","S65603938","KR7035420009","6560393","250.62","Korea (South)","Korea Exchange (Stock Market)","USD","1,109.25","-","KRW"
"TAL","TAL EDUCATION GROUP ADR REPTG","Consumer Discretionary","Equity","105,351,989.40","0.40","105,351,989.40","1,401,330.00","874080104","US8740801043","B4MGD82","75.18","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"051910","LG CHEM LTD","Materials","Equity","103,029,116.07","0.39","103,029,116.07","168,811.00","S63469134","KR7051910008","6346913","610.32","Korea (South)","Korea Exchange (Stock Market)","USD","1,109.25","-","KRW"
"3988","BANK OF CHINA LTD H","Financials","Equity","100,336,725.35","0.38","100,336,725.35","286,015,000.00","-","CNE1000001Z5","B154564","0.35","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"EDU","NEW ORIENTAL EDUCATION & TECHNOLOG","Consumer Discretionary","Equity","99,387,464.49","0.38","99,387,464.49","558,639.00","647581107","US6475811070","B1CN1G6","177.91","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"LKOH","NK LUKOIL","Energy","Equity","99,216,778.01","0.38","99,216,778.01","1,538,706.00","-","RU0009024277","B59SNS8","64.48","Russian Federation","Standard-Classica-Forts","USD","76.40","-","RUB"
"GAZP","GAZPROM","Energy","Equity","98,643,850.43","0.37","98,643,850.43","40,668,629.00","-","RU0007661625","B59L4L7","2.43","Russian Federation","Standard-Classica-Forts","USD","76.40","-","RUB"
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","Financials","Equity","95,931,565.49","0.36","95,931,565.49","17,670,679.00","-","BRITUBACNPR1","B037HR3","5.43","Brazil","XBSP","USD","5.43","-","BRL"
"068270","CELLTRION INC","Health Care","Equity","90,720,473.29","0.34","90,720,473.29","348,810.00","-","KR7068270008","B0C5YV1","260.09","Korea (South)","Korea Exchange (Stock Market)","USD","1,109.25","-","KRW"
"3968","CHINA MERCHANTS BANK LTD H","Financials","Equity","89,328,968.14","0.34","89,328,968.14","14,324,967.00","-","CNE1000002M1","B1DYPZ5","6.24","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"006400","SAMSUNG SDI LTD","Information Technology","Equity","88,941,586.66","0.34","88,941,586.66","203,210.00","S67716456","KR7006400006","6771645","437.68","Korea (South)","Korea Exchange (Stock Market)","USD","1,109.25","-","KRW"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Consumer Staples","Equity","88,661,960.99","0.34","88,661,960.99","3,024,059.00","S62616743","INE030A01027","6261674","29.32","India","National Stock Exchange Of India","USD","74.62","-","INR"
"005380","HYUNDAI MOTOR","Consumer Discretionary","Equity","88,167,081.36","0.33","88,167,081.36","546,365.00","S64510555","KR7005380001","6451055","161.37","Korea (South)","Korea Exchange (Stock Market)","USD","1,109.25","-","KRW"
"1120","AL RAJHI BANK","Financials","Equity","87,679,972.06","0.33","87,679,972.06","4,510,888.00","-","SA0007879113","B12LZH9","19.44","Saudi Arabia","Saudi Stock Exchange","USD","3.75","-","SAR"
"AMXL","AMERICA MOVIL L","Communication","Equity","87,012,960.95","0.33","87,012,960.95","123,595,600.00","S26674705","MXP001691213","2667470","0.70","Mexico","Bolsa Mexicana De Valores","USD","20.27","-","MXN"
"QNBK","QATAR NATIONAL BANK","Financials","Equity","86,217,354.93","0.33","86,217,354.93","16,612,807.00","S61481974","QA0006929895","6148197","5.19","Qatar","Qatar Exchange","USD","3.64","-","QAR"
"2010","SAUDI BASIC INDUSTRIES","Materials","Equity","85,288,877.75","0.32","85,288,877.75","3,332,041.00","-","SA0007879121","B1324D0","25.60","Saudi Arabia","Saudi Stock Exchange","USD","3.75","-","SAR"
"YUMC","YUM CHINA HOLDINGS INC","Consumer Discretionary","Equity","84,794,970.15","0.32","84,794,970.15","1,460,723.00","98850P109","US98850P1093","BYW4289","58.05","China","New York Stock Exchange Inc.","USD","1.00","-","USD"
"BBCA","BANK CENTRAL ASIA","Financials","Equity","83,533,216.16","0.32","83,533,216.16","36,378,200.00","-","ID1000109507","B01C1P6","2.30","Indonesia","Indonesia Stock Exchange","USD","14,110.00","-","IDR"
"B3SA3","B3 BRASIL BOLSA BALCAO SA","Financials","Equity","74,869,595.72","0.28","74,869,595.72","7,610,901.00","-","BRB3SAACNOR6","BG36ZK1","9.84","Brazil","XBSP","USD","5.43","-","BRL"
"BBDC4","BANCO BRADESCO PREF SA","Financials","Equity","74,669,121.01","0.28","74,669,121.01","16,052,826.00","-","BRBBDCACNPR8","B00FM53","4.65","Brazil","XBSP","USD","5.43","-","BRL"
"600519","KWEICHOW MOUTAI LTD A","Consumer Staples","Equity","74,163,949.61","0.28","74,163,949.61","281,787.00","-","CNE0000018R8","BP3R2F1","263.19","China","Shanghai Stock Exchange","USD","6.58","-","CNY"
"PETR4","PETROLEO BRASILEIRO PREF SA","Energy","Equity","73,789,395.00","0.28","73,789,395.00","17,198,727.00","S26845321","BRPETRACNPR6","2684532","4.29","Brazil","XBSP","USD","5.43","-","BRL"
"883","CNOOC LTD","Energy","Equity","73,358,230.48","0.28","73,358,230.48","65,528,000.00","-","HK0883013259","B00G0S5","1.12","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","-","HKD"
"2222","SAUDI ARABIAN OIL","Energy","Equity","72,672,382.03","0.28","72,672,382.03","7,699,372.00","-","SA14TG012N13","BJTM270","9.44","Saudi Arabia","Saudi Stock Exchange","USD","3.75","-","SAR"
"AXISBANK","AXIS BANK LTD","Financials","Equity","68,577,414.26","0.26","68,577,414.26","8,345,552.00","-","INE238A01034","BPFJHC7","8.22","India","National Stock Exchange Of India","USD","74.62","-","INR"
"035720","KAKAO CORP","Communication","Equity","67,931,335.59","0.26","67,931,335.59","208,157.00","S61940375","KR7035720002","6194037","326.35","Korea (South)","Korea Exchange (Stock Market)","USD","1,109.25","-","KRW"
"YNDX","YANDEX NV CLASS A","Communication","Equity","66,550,558.22","0.25","66,550,558.22","1,071,471.00","-","NL0009805522","BMSK1G8","62.11","Russian Federation","Standard-Classica-Forts","USD","76.40","-","RUB"
"7010","SAUDI TELECOM","Communication","Equity","63,556,545.15","0.24","63,556,545.15","2,219,449.00","-","SA0007879543","B12M7Q5","28.64","Saudi Arabia","Saudi Stock Exchange","USD","3.75","-","SAR"
"GMKN","GMK NORILSKIY NIKEL","Materials","Equity","63,103,494.52","0.24","63,103,494.52","232,956.00","-","RU0007288411","B5B1TX2","270.88","Russian Federation","Standard-Classica-Forts","USD","76.40","-","RUB"
