iShares MSCI Emerging Markets ETF
Fund Holdings as of,"Dec 17, 2020"
Inception Date,"Apr 07, 2003"
Shares Outstanding,"546,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","1,795,358,326.63","6.44","1,795,358,326.63","6,789,541.00","01609W102","US01609W1027","BP41ZD1","264.43","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","1,594,891,492.58","5.72","1,594,891,492.58","88,292,000.00","S68891068","TW0002330008","6889106","18.06","Taiwan","Taiwan Stock Exchange","USD","28.12","TWD","Nov 10, 1994"
"700","TENCENT HOLDINGS LTD","Communication","Equity","1,550,084,208.35","5.56","1,550,084,208.35","20,611,600.00","-","KYG875721634","BMMV2K8","75.20","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","1,145,120,375.36","4.11","1,145,120,375.36","17,080,728.00","S67717207","KR7005930003","6771720","67.04","Korea (South)","Korea Exchange (Stock Market)","USD","1,093.35","KRW","-"
"3690","MEITUAN","Consumer Discretionary","Equity","474,980,392.66","1.70","474,980,392.66","12,919,800.00","-","KYG596691041","BGJW376","36.76","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"NPN","NASPERS LIMITED N LTD","Consumer Discretionary","Equity","334,439,378.64","1.20","334,439,378.64","1,555,633.00","S66226911","ZAE000015889","6622691","214.99","South Africa","Johannesburg Stock Exchange","USD","14.69","ZAR","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","329,979,999.99","1.18","329,979,999.99","329,980,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","276,709,432.75","0.99","276,709,432.75","10,254,317.00","S60996261","INE002A01018","6099626","26.98","India","National Stock Exchange Of India","USD","73.58","INR","-"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","260,258,871.68","0.93","260,258,871.68","21,226,500.00","-","CNE1000003X6","B01FLR7","12.26","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"JD","JD.COM ADR REPRESENTING INC","Consumer Discretionary","Equity","256,306,793.31","0.92","256,306,793.31","3,098,861.00","47215P106","US47215P1066","BMM27D9","82.71","China","NASDAQ","USD","1.00","USD","-"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","254,261,489.95","0.91","254,261,489.95","343,394,760.00","-","CNE1000002H1","B0LMTQ3","0.74","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"VALE3","CIA VALE DO RIO DOCE SH","Materials","Equity","228,025,104.71","0.82","228,025,104.71","13,231,209.00","S21962865","BRVALEACNOR0","2196286","17.23","Brazil","XBSP","USD","5.06","BRL","-"
"000660","SK HYNIX INC","Information Technology","Equity","212,459,818.91","0.76","212,459,818.91","1,943,874.00","S64502677","KR7000660001","6450267","109.30","Korea (South)","Korea Exchange (Stock Market)","USD","1,093.35","KRW","-"
"NIO","NIO AMERICAN DEPOSITARY SHARES REP","Consumer Discretionary","Equity","211,139,862.00","0.76","211,139,862.00","4,589,997.00","62914V106","US62914V1061","BFZX9H8","46.00","China","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","207,221,869.80","0.74","207,221,869.80","6,112,364.00","S61719001","INE001A01036","6171900","33.90","India","National Stock Exchange Of India","USD","73.58","INR","-"
"PDD","PINDUODUO ADR REPRESENTING INC","Consumer Discretionary","Equity","204,589,530.75","0.73","204,589,530.75","1,364,385.00","722304102","US7223041028","BYVW0F7","149.95","China","NASDAQ","USD","1.00","USD","-"
"1810","XIAOMI CORP","Information Technology","Equity","193,929,096.26","0.70","193,929,096.26","51,309,800.00","-","KYG9830T1067","BG0ZMJ9","3.78","China","Hong Kong Exchanges And Clearing Ltd","USD","7.75","HKD","-"
"INFY","INFOSYS LTD","Information Technology","Equity","193,012,388.64","0.69","193,012,388.64","12,251,841.00","S62051222","INE009A01021","6205122","15.75","India","National Stock Exchange Of India","USD","73.58","INR","-"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Information Technology","Equity","186,752,682.76","0.67","186,752,682.76","2,963,513.00","S67738120","KR7005931001","6773812","63.02","Korea (South)","Korea Exchange (Stock Market)","USD","1,093.35","KRW","Jun 07, 1993"
"BIDU","BAIDU ADR REPTG INC CLASS A","Communication","Equity","185,010,299.25","0.66","185,010,299.25","973,175.00","056752108","US0567521085","B0FXT17","190.11","China","NASDAQ","USD","1.00","USD","-"
"SBER","SBERBANK ROSSII","Financials","Equity","146,627,569.71","0.53","146,627,569.71","38,412,591.00","-","RU0009029540","4767981","3.82","Russian Federation","Standard-Classica-Forts","USD","72.87","RUB","-"
"2317","HON HAI PRECISION INDUSTRY LTD","Information Technology","Equity","136,936,070.74","0.49","136,936,070.74","43,860,873.00","S64385644","TW0002317005","6438564","3.12","Taiwan","Taiwan Stock Exchange","USD","28.12","TWD","Sep 26, 1991"
