iShares MSCI Mexico ETF
Fund Holdings as of,"Nov 12, 2020"
Inception Date,"Mar 12, 1996"
Shares Outstanding,"24,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"AMXL","AMERICA MOVIL L","Communication","Equity","156,789,493.46","16.60","156,789,493.46","226,414,518.00","S26674705","MXP001691213","2667470","0.69","Mexico","Bolsa Mexicana De Valores","USD","20.51","-","MXN"
"WALMEX*","WALMART DE MEXICO V","Consumer Staples","Equity","92,327,850.86","9.78","92,327,850.86","34,789,633.00","-","MX01WA000038","BW1YVH8","2.65","Mexico","Bolsa Mexicana De Valores","USD","20.51","-","MXN"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Consumer Staples","Equity","85,790,893.86","9.09","85,790,893.86","12,825,010.00","S22420590","MXP320321310","2242059","6.69","Mexico","Bolsa Mexicana De Valores","USD","20.51","-","MXN"
"GFNORTEO","GPO FINANCE BANORTE","Financials","Equity","76,962,196.05","8.15","76,962,196.05","15,498,061.00","S24210411","MXP370711014","2421041","4.97","Mexico","Bolsa Mexicana De Valores","USD","20.51","-","MXN"
"CEMEXCPO","CEMEX CPO","Materials","Equity","47,596,858.74","5.04","47,596,858.74","107,965,629.00","S24064578","MXP225611567","2406457","0.44","Mexico","Bolsa Mexicana De Valores","USD","20.51","-","MXN"
"GMEXICOB","GRUPO MEXICO B","Materials","Equity","43,168,557.29","4.57","43,168,557.29","13,826,986.00","S26436741","MXP370841019","2643674","3.12","Mexico","Bolsa Mexicana De Valores","USD","20.51","-","MXN"
"TLEVISACPO","GRUPO TELEVISA","Communication","Equity","27,296,281.40","2.89","27,296,281.40","17,190,747.00","S23801087","MXP4987V1378","2380108","1.59","Mexico","Bolsa Mexicana De Valores","USD","20.51","-","MXN"
"GAPB","GRUPO AEROPORTUARIO DEL PACIFICO","Industrials","Equity","26,179,528.17","2.77","26,179,528.17","2,699,949.00","-","MX01GA000004","B0ZV104","9.70","Mexico","Bolsa Mexicana De Valores","USD","20.51","-","MXN"
"BIMBOA","GRUPO BIMBO A","Consumer Staples","Equity","25,449,703.08","2.70","25,449,703.08","11,933,804.00","S23924715","MXP495211262","2392471","2.13","Mexico","Bolsa Mexicana De Valores","USD","20.51","-","MXN"
"ASURB","GRUPO AEROPORTUARIO DEL SURESTE B","Industrials","Equity","22,642,161.43","2.40","22,642,161.43","1,501,745.00","S26393496","MXP001661018","2639349","15.08","Mexico","Bolsa Mexicana De Valores","USD","20.51","-","MXN"
"FUNO11","FIBRA UNO ADMINISTRACION REIT SA","Real Estate","Equity","19,347,104.35","2.05","19,347,104.35","22,528,500.00","-","MXCFFU000001","B671GT8","0.86","Mexico","Bolsa Mexicana De Valores","USD","20.51","-","MXN"
"KIMBERA","KIMBERLY-CLARK DE MEXICO CLASS A","Consumer Staples","Equity","17,811,987.61","1.89","17,811,987.61","11,252,254.00","S24919144","MXP606941179","2491914","1.58","Mexico","Bolsa Mexicana De Valores","USD","20.51","-","MXN"
"GRUMAB","GRUMA","Consumer Staples","Equity","17,137,475.16","1.81","17,137,475.16","1,590,625.00","S23925456","MXP4948K1056","2392545","10.77","Mexico","Bolsa Mexicana De Valores","USD","20.51","-","MXN"
"PE&OLES*","INDUST PENOLES","Materials","Equity","17,019,909.55","1.80","17,019,909.55","1,085,893.00","S24482002","MXP554091415","2448200","15.67","Mexico","Bolsa Mexicana De Valores","USD","20.51","-","MXN"
"GFINBURO","GRUPO FINANCIERO INBURSA SRIES O","Financials","Equity","15,584,428.38","1.65","15,584,428.38","17,080,192.00","S28223980","MXP370641013","2822398","0.91","Mexico","Bolsa Mexicana De Valores","USD","20.51","-","MXN"
"AC*","ARCA CONTINENTAL","Consumer Staples","Equity","15,255,558.70","1.62","15,255,558.70","3,275,329.00","S28238855","MX01AC100006","2823885","4.66","Mexico","Bolsa Mexicana De Valores","USD","20.51","-","MXN"
"ORBIA*","ORBIA ADVANCE CORP SA DE CV","Materials","Equity","14,249,858.25","1.51","14,249,858.25","7,812,942.00","-","MX01OR010004","BH3T8K8","1.82","Mexico","Bolsa Mexicana De Valores","USD","20.51","-","MXN"
