iShares MSCI Mexico ETF
Fund Holdings as of,"Dec 08, 2020"
Inception Date,"Mar 12, 1996"
Shares Outstanding,"28,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"AMXL","AMERICA MOVIL L","Communication","Equity","189,079,427.29","15.59","189,079,427.29","262,894,918.00","S26674705","MXP001691213","2667470","0.72","Mexico","Bolsa Mexicana De Valores","USD","19.76","-","MXN"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Consumer Staples","Equity","112,133,595.21","9.25","112,133,595.21","14,766,910.00","S22420590","MXP320321310","2242059","7.59","Mexico","Bolsa Mexicana De Valores","USD","19.76","-","MXN"
"WALMEX*","WALMART DE MEXICO V","Consumer Staples","Equity","109,164,244.43","9.00","109,164,244.43","39,800,933.00","-","MX01WA000038","BW1YVH8","2.74","Mexico","Bolsa Mexicana De Valores","USD","19.76","-","MXN"
"GFNORTEO","GPO FINANCE BANORTE","Financials","Equity","97,978,854.16","8.08","97,978,854.16","18,192,061.00","S24210411","MXP370711014","2421041","5.39","Mexico","Bolsa Mexicana De Valores","USD","19.76","-","MXN"
"GMEXICOB","GRUPO MEXICO B","Materials","Equity","62,623,693.84","5.17","62,623,693.84","15,789,786.00","S26436741","MXP370841019","2643674","3.97","Mexico","Bolsa Mexicana De Valores","USD","19.76","-","MXN"
"CEMEXCPO","CEMEX CPO","Materials","Equity","60,412,512.40","4.98","60,412,512.40","108,905,129.00","S24064578","MXP225611567","2406457","0.55","Mexico","Bolsa Mexicana De Valores","USD","19.76","-","MXN"
"GAPB","GRUPO AEROPORTUARIO DEL PACIFICO","Industrials","Equity","34,373,221.31","2.84","34,373,221.31","3,195,149.00","-","MX01GA000004","B0ZV104","10.76","Mexico","Bolsa Mexicana De Valores","USD","19.76","-","MXN"
"TLEVISACPO","GRUPO TELEVISA","Communication","Equity","33,301,175.55","2.75","33,301,175.55","20,133,047.00","S23801087","MXP4987V1378","2380108","1.65","Mexico","Bolsa Mexicana De Valores","USD","19.76","-","MXN"
"BIMBOA","GRUPO BIMBO A","Consumer Staples","Equity","30,146,138.11","2.49","30,146,138.11","13,870,804.00","S23924715","MXP495211262","2392471","2.17","Mexico","Bolsa Mexicana De Valores","USD","19.76","-","MXN"
"FUNO11","FIBRA UNO ADMINISTRACION REIT SA","Real Estate","Equity","27,647,634.06","2.28","27,647,634.06","26,711,400.00","-","MXCFFU000001","B671GT8","1.04","Mexico","Bolsa Mexicana De Valores","USD","19.76","-","MXN"
