iShares MSCI India ETF
Fund Holdings as of,"Nov 25, 2020"
Inception Date,"Feb 02, 2012"
Shares Outstanding,"91,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","438,346,394.54","13.09","438,346,394.54","16,633,218.00","S60996261","INE002A01018","6099626","26.35","India","National Stock Exchange Of India","USD","73.91","-","INR"
"INFY","INFOSYS LTD","Information Technology","Equity","299,887,308.69","8.95","299,887,308.69","19,867,047.00","S62051222","INE009A01021","6205122","15.09","India","National Stock Exchange Of India","USD","73.91","-","INR"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","284,457,035.46","8.49","284,457,035.46","9,594,186.00","S61719001","INE001A01036","6171900","29.65","India","National Stock Exchange Of India","USD","73.91","-","INR"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","191,916,747.66","5.73","191,916,747.66","5,251,015.00","-","INE467B01029","B01NPJ1","36.55","India","National Stock Exchange Of India","USD","73.91","-","INR"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","190,239,736.29","5.68","190,239,736.29","29,745,333.00","-","INE090A01021","BSZ2BY7","6.40","India","National Stock Exchange Of India","USD","73.91","-","INR"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Consumer Staples","Equity","138,562,278.99","4.14","138,562,278.99","4,794,877.00","S62616743","INE030A01027","6261674","28.90","India","National Stock Exchange Of India","USD","73.91","-","INR"
"AXISBANK","AXIS BANK LTD","Financials","Equity","107,156,340.46","3.20","107,156,340.46","13,203,176.00","-","INE238A01034","BPFJHC7","8.12","India","National Stock Exchange Of India","USD","73.91","-","INR"
"HCLTECH","HCL TECHNOLOGIES LTD","Information Technology","Equity","70,620,976.86","2.11","70,620,976.86","6,329,085.00","S62948963","INE860A01027","6294896","11.16","India","National Stock Exchange Of India","USD","73.91","-","INR"
"MARUTI","MARUTI SUZUKI INDIA LTD","Consumer Discretionary","Equity","67,257,975.77","2.01","67,257,975.77","704,542.00","S66337122","INE585B01010","6633712","95.46","India","National Stock Exchange Of India","USD","73.91","-","INR"
"BAJFINANCE","BAJAJ FINANCE LTD","Financials","Equity","66,589,373.83","1.99","66,589,373.83","1,049,442.00","-","INE296A01024","BD2N0P2","63.45","India","National Stock Exchange Of India","USD","73.91","-","INR"
"ASIANPAINT","ASIAN PAINTS LTD","Materials","Equity","48,905,437.32","1.46","48,905,437.32","1,677,854.00","-","INE021A01026","BCRWL65","29.15","India","National Stock Exchange Of India","USD","73.91","-","INR"
"BHARTIARTL","BHARTI AIRTEL LTD","Communication","Equity","45,922,271.15","1.37","45,922,271.15","7,313,327.00","S64423270","INE397D01024","6442327","6.28","India","National Stock Exchange Of India","USD","73.91","-","INR"
"ITC","ITC LTD","Consumer Staples","Equity","45,115,861.12","1.35","45,115,861.12","17,201,513.00","-","INE154A01025","B0JGGP5","2.62","India","National Stock Exchange Of India","USD","73.91","-","INR"
"ULTRACEMCO","ULTRATECH CEMENT LTD","Materials","Equity","43,866,569.33","1.31","43,866,569.33","672,672.00","-","INE481G01011","B01GZF6","65.21","India","National Stock Exchange Of India","USD","73.91","-","INR"
"DRREDDY","DR REDDYS LABORATORIES LTD","Health Care","Equity","43,371,476.34","1.30","43,371,476.34","666,955.00","S64109598","INE089A01023","6410959","65.03","India","National Stock Exchange Of India","USD","73.91","-","INR"
"M&M","MAHINDRA AND MAHINDRA LTD","Consumer Discretionary","Equity","42,365,614.09","1.26","42,365,614.09","4,349,250.00","S61001863","INE101A01026","6100186","9.74","India","National Stock Exchange Of India","USD","73.91","-","INR"
"LT","LARSEN AND TOUBRO LTD","Industrials","Equity","42,024,081.50","1.25","42,024,081.50","2,783,154.00","-","INE018A01030","B0166K8","15.10","India","National Stock Exchange Of India","USD","73.91","-","INR"
"HDFCLIFE","HDFC LIFE INSURANCE COMPANY LTD","Financials","Equity","37,080,877.29","1.11","37,080,877.29","4,120,655.00","-","INE795G01014","BF0TRG6","9.00","India","National Stock Exchange Of India","USD","73.91","-","INR"
"SBIN","STATE BANK OF INDIA","Financials","Equity","34,217,405.03","1.02","34,217,405.03","10,407,442.00","-","INE062A01020","BSQCB24","3.29","India","National Stock Exchange Of India","USD","73.91","-","INR"
"SUNPHARMA","SUN PHARMACEUTICAL INDUSTRIES LTD","Health Care","Equity","33,534,500.08","1.00","33,534,500.08","4,896,355.00","S65824831","INE044A01036","6582483","6.85","India","National Stock Exchange Of India","USD","73.91","-","INR"
"TITAN","TITAN COMPANY LTD","Consumer Discretionary","Equity","32,037,374.45","0.96","32,037,374.45","1,811,762.00","S61393401","INE280A01028","6139340","17.68","India","National Stock Exchange Of India","USD","73.91","-","INR"
"NESTLEIND","NESTLE INDIA LTD","Consumer Staples","Equity","31,982,957.98","0.95","31,982,957.98","134,922.00","S61286050","INE239A01016","6128605","237.05","India","National Stock Exchange Of India","USD","73.91","-","INR"
"WIPRO","WIPRO LTD","Information Technology","Equity","31,551,375.32","0.94","31,551,375.32","6,662,749.00","S62060512","INE075A01022","6206051","4.74","India","National Stock Exchange Of India","USD","73.91","-","INR"
"TECHM","TECH MAHINDRA LTD","Information Technology","Equity","31,543,673.90","0.94","31,543,673.90","2,703,848.00","-","INE669C01036","BWFGD63","11.67","India","National Stock Exchange Of India","USD","73.91","-","INR"
"DMART","AVENUE SUPERMARTS LTD","Consumer Staples","Equity","28,954,504.49","0.86","28,954,504.49","906,484.00","-","INE192R01011","BYW1G33","31.94","India","National Stock Exchange Of India","USD","73.91","-","INR"
"POWERGRID","POWER GRID CORPORATION OF INDIA LT","Utilities","Equity","28,211,450.97","0.84","28,211,450.97","10,676,438.00","-","INE752E01010","B233HS6","2.64","India","National Stock Exchange Of India","USD","73.91","-","INR"
"EICHERMOT","EICHER MOTORS LTD","Consumer Discretionary","Equity","27,390,927.63","0.82","27,390,927.63","780,110.00","-","INE066A01021","BMW4CV8","35.11","India","National Stock Exchange Of India","USD","73.91","-","INR"
"SBILIFE","SBI LIFE INSURANCE COMPANY LTD","Financials","Equity","26,793,391.93","0.80","26,793,391.93","2,332,371.00","-","INE123W01016","BZ60N32","11.49","India","National Stock Exchange Of India","USD","73.91","-","INR"
"BAJAJFINSV","BAJAJ FINSERV LTD","Financials","Equity","26,266,954.65","0.78","26,266,954.65","222,694.00","-","INE918I01018","B2QKWK1","117.95","India","National Stock Exchange Of India","USD","73.91","-","INR"
"HEROMOTOCO","HERO MOTOCORP LTD","Consumer Discretionary","Equity","23,230,961.36","0.69","23,230,961.36","570,669.00","S63273270","INE158A01026","6327327","40.71","India","National Stock Exchange Of India","USD","73.91","-","INR"
"TATAMOTORS","TATA MOTORS LTD","Consumer Discretionary","Equity","22,979,247.95","0.69","22,979,247.95","9,906,073.00","-","INE155A01022","B611LV1","2.32","India","National Stock Exchange Of India","USD","73.91","-","INR"
"JSWSTEEL","JSW STEEL LTD","Materials","Equity","22,575,823.73","0.67","22,575,823.73","4,932,976.00","-","INE019A01038","BZBYJJ7","4.58","India","National Stock Exchange Of India","USD","73.91","-","INR"
"GODREJCP","GODREJ CONSUMER PRODUCTS LTD","Consumer Staples","Equity","22,459,538.22","0.67","22,459,538.22","2,384,350.00","-","INE102D01028","B1BDGY0","9.42","India","National Stock Exchange Of India","USD","73.91","-","INR"
"ICICIGI","ICICI LOMBARD GENERAL INSURANCE CO","Financials","Equity","22,310,940.44","0.67","22,310,940.44","1,192,466.00","-","INE765G01017","BYXH7P9","18.71","India","National Stock Exchange Of India","USD","73.91","-","INR"
"DIVISLAB","DIVIS LABORATORIES LTD","Health Care","Equity","21,798,013.11","0.65","21,798,013.11","464,365.00","S66025180","INE361B01024","6602518","46.94","India","National Stock Exchange Of India","USD","73.91","-","INR"
"BANDHANBNK","BANDHAN BANK LTD","Financials","Equity","21,045,428.49","0.63","21,045,428.49","4,225,092.00","-","INE545U01014","BG1SV45","4.98","India","National Stock Exchange Of India","USD","73.91","-","INR"
"DABUR","DABUR INDIA LTD","Consumer Staples","Equity","20,964,893.68","0.63","20,964,893.68","3,090,994.00","S62973565","INE016A01026","6297356","6.78","India","National Stock Exchange Of India","USD","73.91","-","INR"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","20,690,000.00","0.62","20,690,000.00","20,690,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","-","USD"
"HINDALCO","HINDALCO INDUSTRIES LTD","Materials","Equity","20,590,643.89","0.61","20,590,643.89","6,810,716.00","-","INE038A01020","B0GWF48","3.02","India","National Stock Exchange Of India","USD","73.91","-","INR"
"CIPLA","CIPLA LTD","Health Care","Equity","20,010,464.16","0.60","20,010,464.16","2,021,422.00","-","INE059A01026","B011108","9.90","India","National Stock Exchange Of India","USD","73.91","-","INR"
"GRASIM","GRASIM INDUSTRIES LTD","Materials","Equity","19,688,364.13","0.59","19,688,364.13","1,725,972.00","-","INE047A01021","BYQKH33","11.41","India","National Stock Exchange Of India","USD","73.91","-","INR"
"BPCL","BHARAT PETROLEUM LTD","Energy","Equity","19,614,310.54","0.59","19,614,310.54","3,794,513.00","S60997236","INE029A01011","6099723","5.17","India","National Stock Exchange Of India","USD","73.91","-","INR"
"NAUKRI","INFO EDGE INDIA LTD","Communication","Equity","19,532,595.94","0.58","19,532,595.94","357,181.00","-","INE663F01024","B1685L0","54.69","India","National Stock Exchange Of India","USD","73.91","-","INR"
"AUROPHARMA","AUROBINDO PHARMA LTD","Health Care","Equity","19,317,115.96","0.58","19,317,115.96","1,674,067.00","S67026344","INE406A01037","6702634","11.54","India","National Stock Exchange Of India","USD","73.91","-","INR"
"NTPC","NTPC LTD","Utilities","Equity","17,600,535.29","0.53","17,600,535.29","13,846,254.00","-","INE733E01010","B037HF1","1.27","India","National Stock Exchange Of India","USD","73.91","-","INR"
"TATACONSUM","TATA CONSUMER PRODUCTS LTD","Consumer Staples","Equity","17,571,647.30","0.52","17,571,647.30","2,522,767.00","S61214888","INE192A01025","6121488","6.97","India","National Stock Exchange Of India","USD","73.91","-","INR"
"VEDL","VEDANTA LTD","Materials","Equity","16,722,543.06","0.50","16,722,543.06","10,837,029.00","S61360400","INE205A01025","6136040","1.54","India","National Stock Exchange Of India","USD","73.91","-","INR"
"BAJAJ.AUTO","BAJAJ AUTO LTD","Consumer Discretionary","Equity","16,717,060.19","0.50","16,717,060.19","404,935.00","-","INE917I01010","B2QKXW0","41.28","India","National Stock Exchange Of India","USD","73.91","-","INR"
"UPL","UPL LTD","Materials","Equity","16,400,352.68","0.49","16,400,352.68","2,895,724.00","-","INE628A01036","B0L0W35","5.66","India","National Stock Exchange Of India","USD","73.91","-","INR"
