iShares MSCI India ETF
Fund Holdings as of,"Dec 14, 2020"
Inception Date,"Feb 02, 2012"
Shares Outstanding,"98,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","419,947,947.03","10.98","419,947,947.03","15,513,695.00","S60996261","INE002A01018","6099626","27.07","India","National Stock Exchange Of India","USD","73.56","INR","-"
"INFY","INFOSYS LTD","Information Technology","Equity","293,354,581.57","7.67","293,354,581.57","18,530,674.00","S62051222","INE009A01021","6205122","15.83","India","National Stock Exchange Of India","USD","73.56","INR","-"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Financials","Equity","289,918,949.48","7.58","289,918,949.48","9,262,008.00","S61719001","INE001A01036","6171900","31.30","India","National Stock Exchange Of India","USD","73.56","INR","-"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","198,347,399.09","5.19","198,347,399.09","27,749,963.00","-","INE090A01021","BSZ2BY7","7.15","India","National Stock Exchange Of India","USD","73.56","INR","-"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","194,019,910.26","5.07","194,019,910.26","5,101,544.00","-","INE467B01029","B01NPJ1","38.03","India","National Stock Exchange Of India","USD","73.56","INR","-"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Consumer Staples","Equity","144,124,003.68","3.77","144,124,003.68","4,472,054.00","S62616743","INE030A01027","6261674","32.23","India","National Stock Exchange Of India","USD","73.56","INR","-"
"AXISBANK","AXIS BANK LTD","Financials","Equity","103,086,501.64","2.69","103,086,501.64","12,312,552.00","-","INE238A01034","BPFJHC7","8.37","India","National Stock Exchange Of India","USD","73.56","INR","-"
"BAJFINANCE","BAJAJ FINANCE LTD","Financials","Equity","98,198,945.55","2.57","98,198,945.55","1,474,643.00","-","INE296A01024","BD2N0P2","66.59","India","National Stock Exchange Of India","USD","73.56","INR","-"
"KOTAKBANK","KOTAK MAHINDRA BANK LTD","Financials","Equity","79,459,239.33","2.08","79,459,239.33","3,014,010.00","S61356614","INE237A01028","6135661","26.36","India","National Stock Exchange Of India","USD","73.56","INR","-"
"MARUTI","MARUTI SUZUKI INDIA LTD","Consumer Discretionary","Equity","77,346,863.05","2.02","77,346,863.05","739,246.00","S66337122","INE585B01010","6633712","104.63","India","National Stock Exchange Of India","USD","73.56","INR","-"
"ASIANPAINT","ASIAN PAINTS LTD","Materials","Equity","72,275,458.15","1.89","72,275,458.15","2,086,519.00","-","INE021A01026","BCRWL65","34.64","India","National Stock Exchange Of India","USD","73.56","INR","-"
"HCLTECH","HCL TECHNOLOGIES LTD","Information Technology","Equity","70,053,246.38","1.83","70,053,246.38","5,902,969.00","S62948963","INE860A01027","6294896","11.87","India","National Stock Exchange Of India","USD","73.56","INR","-"
"LT","LARSEN AND TOUBRO LTD","Industrials","Equity","63,556,523.74","1.66","63,556,523.74","3,741,349.00","-","INE018A01030","B0166K8","16.99","India","National Stock Exchange Of India","USD","73.56","INR","-"
"ITC","ITC LTD","Consumer Staples","Equity","47,133,940.87","1.23","47,133,940.87","16,059,706.00","-","INE154A01025","B0JGGP5","2.93","India","National Stock Exchange Of India","USD","73.56","INR","-"
"BHARTIARTL","BHARTI AIRTEL LTD","Communication","Equity","46,663,352.24","1.22","46,663,352.24","6,823,721.00","S64423270","INE397D01024","6442327","6.84","India","National Stock Exchange Of India","USD","73.56","INR","-"
"NESTLEIND","NESTLE INDIA LTD","Consumer Staples","Equity","46,380,364.79","1.21","46,380,364.79","183,514.00","S61286050","INE239A01016","6128605","252.73","India","National Stock Exchange Of India","USD","73.56","INR","-"
"ULTRACEMCO","ULTRATECH CEMENT LTD","Materials","Equity","43,303,425.98","1.13","43,303,425.98","627,841.00","-","INE481G01011","B01GZF6","68.97","India","National Stock Exchange Of India","USD","73.56","INR","-"
"DRREDDY","DR REDDYS LABORATORIES LTD","Health Care","Equity","43,213,183.98","1.13","43,213,183.98","632,888.00","S64109598","INE089A01023","6410959","68.28","India","National Stock Exchange Of India","USD","73.56","INR","-"
"M&M","MAHINDRA AND MAHINDRA LTD","Consumer Discretionary","Equity","42,515,422.13","1.11","42,515,422.13","4,394,465.00","S61001863","INE101A01026","6100186","9.67","India","National Stock Exchange Of India","USD","73.56","INR","-"
"TECHM","TECH MAHINDRA LTD","Information Technology","Equity","42,225,829.46","1.10","42,225,829.46","3,415,700.00","-","INE669C01036","BWFGD63","12.36","India","National Stock Exchange Of India","USD","73.56","INR","-"
"TITAN","TITAN COMPANY LTD","Consumer Discretionary","Equity","38,418,812.68","1.00","38,418,812.68","1,931,179.00","S61393401","INE280A01028","6139340","19.89","India","National Stock Exchange Of India","USD","73.56","INR","-"
"SBIN","STATE BANK OF INDIA","Financials","Equity","36,179,247.95","0.95","36,179,247.95","9,706,185.00","-","INE062A01020","BSQCB24","3.73","India","National Stock Exchange Of India","USD","73.56","INR","-"
"SUNPHARMA","SUN PHARMACEUTICAL INDUSTRIES LTD","Health Care","Equity","35,773,129.99","0.94","35,773,129.99","4,566,700.00","S65824831","INE044A01036","6582483","7.83","India","National Stock Exchange Of India","USD","73.56","INR","-"
"DIVISLAB","DIVIS LABORATORIES LTD","Health Care","Equity","35,323,133.84","0.92","35,323,133.84","721,834.00","S66025180","INE361B01024","6602518","48.94","India","National Stock Exchange Of India","USD","73.56","INR","-"
"NTPC","NTPC LTD","Utilities","Equity","34,430,105.43","0.90","34,430,105.43","24,213,811.00","-","INE733E01010","B037HF1","1.42","India","National Stock Exchange Of India","USD","73.56","INR","-"
"HDFCLIFE","HDFC LIFE INSURANCE COMPANY LTD","Financials","Equity","34,262,013.77","0.90","34,262,013.77","3,843,537.00","-","INE795G01014","BF0TRG6","8.91","India","National Stock Exchange Of India","USD","73.56","INR","-"
"DMART","AVENUE SUPERMARTS LTD","Consumer Staples","Equity","31,988,213.10","0.84","31,988,213.10","880,680.00","-","INE192R01011","BYW1G33","36.32","India","National Stock Exchange Of India","USD","73.56","INR","-"
"TATASTEEL","TATA STEEL LTD","Materials","Equity","31,316,327.88","0.82","31,316,327.88","3,675,640.00","S61011565","INE081A01012","6101156","8.52","India","National Stock Exchange Of India","USD","73.56","INR","-"
"BRITANNIA","BRITANNIA INDUSTRIES LTD","Consumer Staples","Equity","30,246,406.05","0.79","30,246,406.05","589,100.00","-","INE216A01030","BGSQG47","51.34","India","National Stock Exchange Of India","USD","73.56","INR","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","30,230,000.00","0.79","30,230,000.00","30,230,000.00","066922477","US0669224778","-","1.00","United States","-","USD","1.00","USD","-"
"POWERGRID","POWER GRID CORPORATION OF INDIA LT","Utilities","Equity","30,058,289.90","0.79","30,058,289.90","11,380,149.00","-","INE752E01010","B233HS6","2.64","India","National Stock Exchange Of India","USD","73.56","INR","-"
"WIPRO","WIPRO LTD","Information Technology","Equity","29,516,521.54","0.77","29,516,521.54","6,215,283.00","S62060512","INE075A01022","6206051","4.75","India","National Stock Exchange Of India","USD","73.56","INR","-"
"ADANIGREEN","ADANI GREEN ENERGY LTD","Utilities","Equity","29,217,544.14","0.76","29,217,544.14","2,126,351.00","-","INE364U01010","BD6H7M6","13.74","India","National Stock Exchange Of India","USD","73.56","INR","-"
"HINDALCO","HINDALCO INDUSTRIES LTD","Materials","Equity","28,636,052.19","0.75","28,636,052.19","8,551,003.00","-","INE038A01020","B0GWF48","3.35","India","National Stock Exchange Of India","USD","73.56","INR","-"
"HEROMOTOCO","HERO MOTOCORP LTD","Consumer Discretionary","Equity","27,585,849.09","0.72","27,585,849.09","651,738.00","S63273270","INE158A01026","6327327","42.33","India","National Stock Exchange Of India","USD","73.56","INR","-"
"CIPLA","CIPLA LTD","Health Care","Equity","25,877,194.46","0.68","25,877,194.46","2,411,746.00","-","INE059A01026","B011108","10.73","India","National Stock Exchange Of India","USD","73.56","INR","-"
"TATACONSUM","TATA CONSUMER PRODUCTS LTD","Consumer Staples","Equity","25,550,928.72","0.67","25,550,928.72","3,257,522.00","S61214888","INE192A01025","6121488","7.84","India","National Stock Exchange Of India","USD","73.56","INR","-"
"BAJAJFINSV","BAJAJ FINSERV LTD","Financials","Equity","25,223,285.64","0.66","25,223,285.64","207,700.00","-","INE918I01018","B2QKWK1","121.44","India","National Stock Exchange Of India","USD","73.56","INR","-"
"SBILIFE","SBI LIFE INSURANCE COMPANY LTD","Financials","Equity","25,141,787.90","0.66","25,141,787.90","2,175,362.00","-","INE123W01016","BZ60N32","11.56","India","National Stock Exchange Of India","USD","73.56","INR","-"
"NAUKRI","INFO EDGE INDIA LTD","Communication","Equity","24,424,931.37","0.64","24,424,931.37","384,535.00","-","INE663F01024","B1685L0","63.52","India","National Stock Exchange Of India","USD","73.56","INR","-"
"EICHERMOT","EICHER MOTORS LTD","Consumer Discretionary","Equity","24,242,252.64","0.63","24,242,252.64","742,911.00","-","INE066A01021","BMW4CV8","32.63","India","National Stock Exchange Of India","USD","73.56","INR","-"
"ICICIGI","ICICI LOMBARD GENERAL INSURANCE CO","Financials","Equity","22,523,784.66","0.59","22,523,784.66","1,112,204.00","-","INE765G01017","BYXH7P9","20.25","India","National Stock Exchange Of India","USD","73.56","INR","-"
"JSWSTEEL","JSW STEEL LTD","Materials","Equity","22,359,295.33","0.58","22,359,295.33","4,600,855.00","-","INE019A01038","BZBYJJ7","4.86","India","National Stock Exchange Of India","USD","73.56","INR","-"
"TATAMOTORS","TATA MOTORS LTD","Consumer Discretionary","Equity","22,312,069.63","0.58","22,312,069.63","9,239,131.00","-","INE155A01022","B611LV1","2.41","India","National Stock Exchange Of India","USD","73.56","INR","-"
"BANDHANBNK","BANDHAN BANK LTD","Financials","Equity","21,980,155.16","0.57","21,980,155.16","3,940,812.00","-","INE545U01014","BG1SV45","5.58","India","National Stock Exchange Of India","USD","73.56","INR","-"
"GODREJCP","GODREJ CONSUMER PRODUCTS LTD","Consumer Staples","Equity","21,867,629.05","0.57","21,867,629.05","2,224,179.00","-","INE102D01028","B1BDGY0","9.83","India","National Stock Exchange Of India","USD","73.56","INR","-"
"VEDL","VEDANTA LTD","Materials","Equity","20,149,551.51","0.53","20,149,551.51","10,107,408.00","S61360400","INE205A01025","6136040","1.99","India","National Stock Exchange Of India","USD","73.56","INR","-"
"DABUR","DABUR INDIA LTD","Consumer Staples","Equity","20,131,772.51","0.53","20,131,772.51","2,883,457.00","S62973565","INE016A01026","6297356","6.98","India","National Stock Exchange Of India","USD","73.56","INR","-"
"GRASIM","GRASIM INDUSTRIES LTD","Materials","Equity","19,949,024.63","0.52","19,949,024.63","1,610,072.00","-","INE047A01021","BYQKH33","12.39","India","National Stock Exchange Of India","USD","73.56","INR","-"
"BPCL","BHARAT PETROLEUM LTD","Energy","Equity","19,505,924.61","0.51","19,505,924.61","3,539,042.00","S60997236","INE029A01011","6099723","5.51","India","National Stock Exchange Of India","USD","73.56","INR","-"
"AUROPHARMA","AUROBINDO PHARMA LTD","Health Care","Equity","19,262,690.19","0.50","19,262,690.19","1,593,222.00","S67026344","INE406A01037","6702634","12.09","India","National Stock Exchange Of India","USD","73.56","INR","-"
"SHREECEM","SHREE CEMENT LTD","Materials","Equity","18,980,984.77","0.50","18,980,984.77","58,860.00","S61003570","INE070A01015","6100357","322.48","India","National Stock Exchange Of India","USD","73.56","INR","-"
"ONGC","OIL AND NATURAL GAS LTD","Energy","Equity","18,879,222.14","0.49","18,879,222.14","13,682,786.00","S61393625","INE213A01029","6139362","1.38","India","National Stock Exchange Of India","USD","73.56","INR","-"
"PIDILITIND","PIDILITE INDUSTRIES LTD","Materials","Equity","18,338,357.55","0.48","18,338,357.55","828,990.00","-","INE318A01026","B0JJV59","22.12","India","National Stock Exchange Of India","USD","73.56","INR","-"
"ADANIPORTS","ADANI PORTS AND SPECIAL ECONOMIC Z","Industrials","Equity","17,535,787.31","0.46","17,535,787.31","2,762,262.00","-","INE742F01042","B28XXH2","6.35","India","National Stock Exchange Of India","USD","73.56","INR","-"
"BAJAJ.AUTO","BAJAJ AUTO LTD","Consumer Discretionary","Equity","16,885,821.01","0.44","16,885,821.01","377,672.00","-","INE917I01010","B2QKXW0","44.71","India","National Stock Exchange Of India","USD","73.56","INR","-"
"UPL","UPL LTD","Materials","Equity","16,257,614.33","0.43","16,257,614.33","2,704,853.00","-","INE628A01036","B0L0W35","6.01","India","National Stock Exchange Of India","USD","73.56","INR","-"
"MARICO","MARICO LTD","Consumer Staples","Equity","15,807,769.67","0.41","15,807,769.67","2,808,160.00","-","INE196A01026","B1S34K5","5.63","India","National Stock Exchange Of India","USD","73.56","INR","-"
"LUPIN","LUPIN LTD","Health Care","Equity","15,768,086.09","0.41","15,768,086.09","1,232,078.00","S61437612","INE326A01037","6143761","12.80","India","National Stock Exchange Of India","USD","73.56","INR","-"
"APOLLOHOSP","APOLLO HOSPITALS ENTERPRISE LTD","Health Care","Equity","15,755,774.67","0.41","15,755,774.67","491,783.00","S62735832","INE437A01024","6273583","32.04","India","National Stock Exchange Of India","USD","73.56","INR","-"
