iShares Core S&P 500 ETF
Fund Holdings as of,"Nov 19, 2020"
Inception Date,"May 15, 2000"
Shares Outstanding,"645,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"AAPL","APPLE INC","Information Technology","Equity","14,839,632,262.96","6.40","14,839,632,262.96","125,081,189.00","037833100","US0378331005","2046251","118.64","United States","NASDAQ","USD","1.00","-","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","12,507,191,249.54","5.39","12,507,191,249.54","58,879,537.00","594918104","US5949181045","2588173","212.42","United States","NASDAQ","USD","1.00","-","USD"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","10,325,527,728.56","4.45","10,325,527,728.56","3,312,628.00","023135106","US0231351067","2000019","3,117.02","United States","NASDAQ","USD","1.00","-","USD"
"FB","FACEBOOK CLASS A INC","Communication","Equity","5,105,726,180.70","2.20","5,105,726,180.70","18,706,405.00","30303M102","US30303M1027","B7TL820","272.94","United States","NASDAQ","USD","1.00","-","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","4,111,165,601.73","1.77","4,111,165,601.73","2,337,789.00","02079K305","US02079K3059","BYVY8G0","1,758.57","United States","NASDAQ","USD","1.00","-","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","4,029,340,095.20","1.74","4,029,340,095.20","2,284,310.00","02079K107","US02079K1079","BYY88Y7","1,763.92","United States","NASDAQ","USD","1.00","-","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","3,539,921,375.34","1.53","3,539,921,375.34","15,422,478.00","084670702","US0846707026","2073390","229.53","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","3,014,084,768.66","1.30","3,014,084,768.66","20,484,469.00","478160104","US4781601046","2475833","147.14","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","2,740,119,429.60","1.18","2,740,119,429.60","23,711,660.00","46625H100","US46625H1005","2190385","115.56","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"V","VISA INC CLASS A","Information Technology","Equity","2,722,879,181.88","1.17","2,722,879,181.88","13,117,884.00","92826C839","US92826C8394","B2PZN04","207.57","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
