iShares Core S&P 500 ETF
Fund Holdings as of,"Dec 08, 2020"
Inception Date,"May 15, 2000"
Shares Outstanding,"647,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"AAPL","APPLE INC","Information Technology","Equity","15,522,660,692.10","6.49","15,522,660,692.10","124,800,295.00","037833100","US0378331005","2046251","124.38","United States","NASDAQ","USD","1.00","-","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","12,690,009,889.26","5.30","12,690,009,889.26","58,747,326.00","594918104","US5949181045","2588173","216.01","United States","NASDAQ","USD","1.00","-","USD"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","10,501,499,475.75","4.39","10,501,499,475.75","3,305,175.00","023135106","US0231351067","2000019","3,177.29","United States","NASDAQ","USD","1.00","-","USD"
"FB","FACEBOOK CLASS A INC","Communication","Equity","5,289,486,425.60","2.21","5,289,486,425.60","18,664,384.00","30303M102","US30303M1027","B7TL820","283.40","United States","NASDAQ","USD","1.00","-","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","4,224,999,678.20","1.77","4,224,999,678.20","2,332,540.00","02079K305","US02079K3059","BYVY8G0","1,811.33","United States","NASDAQ","USD","1.00","-","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","4,144,797,333.35","1.73","4,144,797,333.35","2,279,177.00","02079K107","US02079K1079","BYY88Y7","1,818.55","United States","NASDAQ","USD","1.00","-","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","3,511,353,947.88","1.47","3,511,353,947.88","15,387,852.00","084670702","US0846707026","2073390","228.19","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","3,097,450,886.25","1.29","3,097,450,886.25","20,438,475.00","478160104","US4781601046","2475833","151.55","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","2,886,326,752.00","1.21","2,886,326,752.00","23,658,416.00","46625H100","US46625H1005","2190385","122.00","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"V","VISA INC CLASS A","Information Technology","Equity","2,784,823,123.40","1.16","2,784,823,123.40","13,088,420.00","92826C839","US92826C8394","B2PZN04","212.77","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","2,668,068,191.25","1.11","2,668,068,191.25","19,326,825.00","742718109","US7427181091","2704407","138.05","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","2,566,322,887.74","1.07","2,566,322,887.74","7,377,459.00","91324P102","US91324P1021","2917766","347.86","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"NVDA","NVIDIA CORP","Information Technology","Equity","2,557,737,714.00","1.07","2,557,737,714.00","4,789,771.00","67066G104","US67066G1040","2379504","534.00","United States","NASDAQ","USD","1.00","-","USD"
"MA","MASTERCARD INC CLASS A","Information Technology","Equity","2,336,946,977.60","0.98","2,336,946,977.60","6,857,440.00","57636Q104","US57636Q1040","B121557","340.79","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","2,187,069,984.72","0.91","2,187,069,984.72","8,356,526.00","437076102","US4370761029","2434209","261.72","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"DIS","WALT DISNEY","Communication","Equity","2,156,411,675.88","0.90","2,156,411,675.88","14,028,179.00","254687106","US2546871060","2270726","153.72","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"PYPL","PAYPAL HOLDINGS INC","Information Technology","Equity","1,975,951,781.78","0.83","1,975,951,781.78","9,108,287.00","70450Y103","US70450Y1038","BYW36M8","216.94","United States","NASDAQ","USD","1.00","-","USD"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","1,973,990,365.45","0.82","1,973,990,365.45","32,123,521.00","92343V104","US92343V1044","2090571","61.45","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"ADBE","ADOBE INC","Information Technology","Equity","1,844,234,513.60","0.77","1,844,234,513.60","3,723,620.00","00724F101","US00724F1012","2008154","495.28","United States","NASDAQ","USD","1.00","-","USD"
"PFE","PFIZER INC","Health Care","Equity","1,835,807,554.56","0.77","1,835,807,554.56","43,134,576.00","717081103","US7170811035","2684703","42.56","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","1,819,326,743.57","0.76","1,819,326,743.57","35,388,577.00","20030N101","US20030N1019","2044545","51.41","United States","NASDAQ","USD","1.00","-","USD"
"NFLX","NETFLIX INC","Communication","Equity","1,755,146,877.28","0.73","1,755,146,877.28","3,423,608.00","64110L106","US64110L1061","2857817","512.66","United States","NASDAQ","USD","1.00","-","USD"
"BAC","BANK OF AMERICA CORP","Financials","Equity","1,712,308,348.19","0.72","1,712,308,348.19","59,187,983.00","060505104","US0605051046","2295677","28.93","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"T","AT&T INC","Communication","Equity","1,704,134,682.90","0.71","1,704,134,682.90","55,311,090.00","00206R102","US00206R1023","2831811","30.81","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","1,673,572,118.56","0.70","1,673,572,118.56","33,015,824.00","458140100","US4581401001","2463247","50.69","United States","NASDAQ","USD","1.00","-","USD"
"MRK","MERCK & CO INC","Health Care","Equity","1,633,189,891.08","0.68","1,633,189,891.08","19,634,406.00","58933Y105","US58933Y1055","2778844","83.18","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"WMT","WALMART INC","Consumer Staples","Equity","1,610,952,934.50","0.67","1,610,952,934.50","10,779,210.00","931142103","US9311421039","2936921","149.45","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"CRM","SALESFORCE.COM INC","Information Technology","Equity","1,609,663,878.62","0.67","1,609,663,878.62","7,064,267.00","79466L302","US79466L3024","2310525","227.86","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"KO","COCA-COLA","Consumer Staples","Equity","1,595,972,110.44","0.67","1,595,972,110.44","30,010,758.00","191216100","US1912161007","2206657","53.18","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"PEP","PEPSICO INC","Consumer Staples","Equity","1,564,169,305.04","0.65","1,564,169,305.04","10,748,827.00","713448108","US7134481081","2681511","145.52","United States","NASDAQ","USD","1.00","-","USD"
"ABBV","ABBVIE INC","Health Care","Equity","1,475,384,983.93","0.62","1,475,384,983.93","13,700,297.00","00287Y109","US00287Y1091","B92SR70","107.69","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","1,467,920,716.80","0.61","1,467,920,716.80","13,744,576.00","002824100","US0028241000","2002305","106.80","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","1,458,173,239.65","0.61","1,458,173,239.65","32,863,945.00","17275R102","US17275R1023","2198163","44.37","United States","NASDAQ","USD","1.00","-","USD"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","1,455,549,447.82","0.61","1,455,549,447.82","3,070,909.00","883556102","US8835561023","2886907","473.98","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"QCOM","QUALCOMM INC","Information Technology","Equity","1,390,882,512.80","0.58","1,390,882,512.80","8,758,706.00","747525103","US7475251036","2714923","158.80","United States","NASDAQ","USD","1.00","-","USD"
"XOM","EXXON MOBIL CORP","Energy","Equity","1,386,466,287.36","0.58","1,386,466,287.36","32,823,539.00","30231G102","US30231G1022","2326618","42.24","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"CVX","CHEVRON CORP","Energy","Equity","1,368,337,814.58","0.57","1,368,337,814.58","14,947,977.00","166764100","US1667641005","2838555","91.54","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","1,344,438,846.48","0.56","1,344,438,846.48","9,663,879.00","654106103","US6541061031","2640147","139.12","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","1,321,935,135.56","0.55","1,321,935,135.56","3,122,116.00","11135F101","US11135F1012","BDZ78H9","423.41","United States","NASDAQ","USD","1.00","-","USD"
